Anji,0.5,0.364,0.404,0.354,0.495,0.465,0.455,0.505,0.465,0.475,0.444,0.434,0.535,0.444,0.525,0.515
Sol,0.636,0.5,0.596,0.485,0.59,0.465,0.525,0.596,0.515,0.6,0.505,0.535,0.525,0.424,0.556,0.485
Zato,0.596,0.404,0.5,0.485,0.495,0.444,0.414,0.515,0.566,0.51,0.545,0.475,0.485,0.455,0.54,0.434
Pot,0.646,0.515,0.515,0.5,0.444,0.434,0.505,0.505,0.57,0.556,0.364,0.586,0.58,0.434,0.485,0.515
Ram,0.505,0.41,0.505,0.556,0.5,0.505,0.444,0.566,0.455,0.455,0.47,0.535,0.495,0.45,0.434,0.465
Axl,0.535,0.535,0.556,0.566,0.495,0.5,0.47,0.687,0.475,0.47,0.636,0.606,0.56,0.556,0.535,0.556
Chipp,0.545,0.475,0.586,0.495,0.556,0.53,0.5,0.576,0.495,0.576,0.556,0.465,0.525,0.556,0.515,0.475
Faust,0.495,0.404,0.485,0.495,0.434,0.313,0.424,0.5,0.434,0.505,0.465,0.505,0.495,0.465,0.404,0.455
Gio,0.535,0.485,0.434,0.43,0.545,0.525,0.505,0.566,0.5,0.505,0.566,0.434,0.46,0.495,0.455,0.495
Millia,0.525,0.4,0.49,0.444,0.545,0.53,0.424,0.495,0.495,0.5,0.384,0.424,0.424,0.424,0.414,0.465
Gold,0.556,0.495,0.455,0.636,0.53,0.364,0.444,0.535,0.434,0.616,0.5,0.576,0.545,0.465,0.505,0.566
Leo,0.566,0.465,0.525,0.414,0.465,0.394,0.535,0.495,0.566,0.576,0.424,0.5,0.525,0.414,0.57,0.525
Ky,0.465,0.475,0.515,0.42,0.505,0.44,0.475,0.505,0.54,0.576,0.455,0.475,0.5,0.42,0.495,0.525
Nago,0.556,0.576,0.545,0.566,0.55,0.444,0.444,0.535,0.505,0.576,0.535,0.586,0.58,0.5,0.495,0.525
Ino,0.475,0.444,0.46,0.515,0.566,0.465,0.485,0.596,0.545,0.586,0.495,0.43,0.505,0.505,0.5,0.414
May,0.485,0.515,0.566,0.485,0.535,0.444,0.525,0.545,0.505,0.535,0.434,0.475,0.475,0.475,0.586,0.5
