tiers100,Ryu,Mbison,Chunli,Ken,Karin,Zangief,Dhalsim,Nash,Vega,Juri,Birdie,Rmika,Rashid,Fang,Laura,Necalli,Cammy,Guile,Ibuki,Balrog,Urien,Alex,Akuma,Overall
Ryu,-,39%,43%,57%,50%,44%,65%,58%,56%,40%,55%,59%,55%,46%,61%,44%,52%,48%,59%,48%,48%,61%,52%,52%
Mbison,61%,-,42%,59%,55%,45%,58%,51%,65%,59%,45%,49%,54%,61%,39%,50%,43%,57%,62%,50%,42%,64%,52%,53%
Chunli,57%,58%,-,51%,53%,44%,39%,60%,59%,62%,64%,55%,51%,55%,52%,40%,48%,55%,53%,47%,42%,62%,45%,52%
Ken,43%,41%,49%,-,51%,47%,42%,46%,47%,56%,52%,51%,45%,-,50%,41%,40%,55%,58%,51%,55%,58%,48%,49%
Karin,50%,45%,47%,49%,-,51%,57%,52%,54%,51%,47%,43%,47%,56%,52%,44%,44%,-,51%,49%,48%,60%,64%,51%
Zangief,56%,55%,56%,53%,49%,-,29%,44%,48%,58%,38%,58%,55%,57%,62%,47%,58%,46%,52%,38%,59%,45%,62%,51%
Dhalsim,35%,42%,61%,58%,43%,71%,-,54%,48%,49%,41%,47%,43%,55%,40%,41%,39%,50%,42%,-,51%,61%,48%,49%
Nash,42%,49%,40%,54%,48%,56%,46%,-,43%,29%,47%,54%,39%,51%,47%,42%,45%,55%,57%,48%,47%,56%,57%,48%
Vega,44%,35%,41%,53%,46%,52%,52%,57%,-,-,47%,52%,52%,51%,36%,38%,35%,45%,41%,47%,40%,55%,74%,47%
Juri,60%,41%,38%,44%,49%,42%,51%,71%,-,-,47%,52%,75%,25%,53%,43%,38%,62%,65%,54%,48%,40%,31%,49%
Birdie,45%,55%,36%,48%,53%,62%,59%,53%,53%,53%,-,64%,-,55%,51%,35%,42%,53%,56%,51%,32%,64%,62%,52%
Rmika,41%,51%,45%,49%,57%,42%,53%,46%,48%,48%,36%,-,44%,58%,42%,40%,32%,51%,40%,41%,-,47%,45%,46%
Rashid,45%,46%,49%,55%,53%,45%,57%,61%,48%,25%,-,56%,-,58%,47%,50%,40%,41%,60%,52%,58%,61%,67%,51%
Fang,54%,39%,45%,-,44%,43%,45%,49%,49%,75%,45%,42%,42%,-,36%,26%,38%,33%,58%,56%,52%,51%,56%,47%
Laura,39%,61%,48%,50%,48%,38%,60%,53%,64%,47%,49%,58%,53%,64%,-,42%,47%,59%,54%,54%,51%,58%,-,52%
Necalli,56%,50%,60%,59%,56%,53%,59%,58%,62%,58%,65%,60%,50%,74%,58%,-,55%,61%,46%,61%,58%,63%,57%,58%
Cammy,48%,57%,52%,60%,56%,42%,61%,55%,65%,62%,58%,68%,60%,62%,53%,45%,-,58%,63%,56%,55%,66%,57%,57%
Guile,52%,43%,45%,45%,-,54%,50%,45%,55%,38%,47%,49%,59%,67%,41%,39%,42%,-,52%,49%,-,49%,71%,50%
Ibuki,41%,38%,47%,42%,49%,48%,58%,43%,59%,35%,44%,60%,40%,43%,46%,54%,37%,48%,-,52%,53%,60%,52%,48%
Balrog,52%,50%,53%,49%,51%,62%,-,52%,53%,46%,49%,59%,48%,44%,46%,39%,44%,51%,48%,-,57%,58%,52%,51%
Urien,52%,58%,58%,45%,52%,41%,49%,53%,60%,52%,68%,-,42%,48%,49%,42%,45%,-,47%,43%,-,56%,68%,51%
Alex,39%,36%,38%,42%,40%,55%,39%,44%,45%,60%,36%,53%,39%,49%,42%,37%,34%,51%,40%,42%,44%,-,48%,43%
Akuma,48%,48%,55%,52%,36%,38%,52%,43%,26%,69%,38%,55%,33%,44%,-,43%,43%,29%,48%,48%,32%,52%,-,44%
