tiers10000,Ryu,Mbison,Chunli,Ken,Karin,Zangief,Dhalsim,Nash,Vega,Juri,Birdie,Rmika,Rashid,Fang,Laura,Necalli,Cammy,Guile,Ibuki,Balrog,Urien,Alex,Akuma,Overall
Ryu,-,43%,42%,50%,49%,50%,43%,46%,49%,52%,46%,51%,47%,46%,52%,47%,46%,43%,46%,42%,49%,52%,57%,48%
Mbison,57%,-,46%,54%,52%,45%,51%,56%,49%,61%,47%,46%,50%,56%,43%,52%,52%,53%,55%,52%,53%,54%,65%,52%
Chunli,58%,54%,-,51%,57%,55%,43%,55%,56%,56%,55%,52%,51%,49%,55%,52%,-,50%,53%,51%,53%,59%,56%,53%
Ken,50%,46%,49%,-,49%,52%,44%,45%,51%,52%,50%,48%,46%,44%,48%,48%,46%,48%,47%,48%,51%,54%,53%,49%
Karin,51%,48%,43%,51%,-,45%,48%,52%,48%,56%,46%,51%,48%,46%,48%,47%,48%,52%,47%,46%,48%,50%,58%,49%
Zangief,50%,55%,45%,48%,55%,-,31%,41%,47%,57%,43%,51%,51%,50%,54%,46%,53%,43%,52%,57%,48%,53%,63%,50%
Dhalsim,57%,49%,57%,56%,52%,69%,-,59%,53%,57%,56%,49%,46%,53%,-,50%,54%,56%,49%,47%,52%,52%,68%,54%
Nash,54%,44%,45%,55%,48%,59%,41%,-,45%,49%,51%,50%,45%,46%,44%,47%,49%,49%,46%,44%,54%,53%,55%,49%
Vega,51%,51%,44%,49%,52%,53%,47%,55%,-,58%,52%,51%,52%,54%,44%,48%,48%,48%,50%,48%,55%,56%,58%,51%
Juri,48%,39%,44%,48%,44%,43%,43%,51%,42%,-,42%,42%,42%,42%,45%,42%,43%,48%,44%,41%,42%,48%,56%,45%
Birdie,54%,53%,45%,50%,54%,57%,44%,49%,48%,58%,-,48%,46%,43%,48%,48%,50%,47%,54%,48%,49%,53%,59%,50%
Rmika,49%,54%,48%,52%,49%,49%,51%,50%,49%,58%,52%,-,48%,54%,47%,51%,49%,50%,49%,55%,50%,55%,58%,51%
Rashid,53%,50%,49%,54%,52%,49%,54%,55%,48%,58%,54%,52%,-,51%,49%,52%,48%,51%,54%,52%,52%,57%,62%,53%
Fang,54%,44%,51%,56%,54%,50%,47%,54%,46%,58%,57%,46%,49%,-,43%,47%,46%,48%,51%,50%,55%,54%,64%,51%
Laura,48%,57%,45%,52%,52%,46%,-,56%,56%,55%,52%,53%,51%,57%,-,50%,49%,49%,51%,57%,54%,55%,61%,53%
Necalli,53%,48%,48%,52%,53%,54%,50%,53%,52%,58%,52%,49%,48%,53%,50%,-,51%,54%,49%,48%,51%,54%,60%,52%
Cammy,54%,48%,-,54%,52%,47%,46%,51%,52%,57%,50%,51%,52%,54%,51%,49%,-,51%,51%,52%,48%,56%,62%,52%
Guile,57%,47%,50%,52%,48%,57%,44%,51%,52%,52%,53%,50%,49%,52%,51%,46%,49%,-,47%,44%,54%,49%,63%,51%
Ibuki,54%,45%,47%,53%,53%,48%,51%,54%,50%,56%,46%,51%,46%,49%,49%,51%,49%,53%,-,46%,53%,51%,63%,51%
Balrog,58%,48%,49%,52%,54%,43%,53%,56%,52%,59%,52%,45%,48%,50%,43%,52%,48%,56%,54%,-,56%,53%,66%,52%
Urien,51%,47%,47%,49%,52%,52%,48%,46%,45%,58%,51%,50%,48%,45%,46%,49%,52%,46%,47%,44%,-,51%,61%,49%
Alex,48%,46%,41%,46%,50%,47%,48%,47%,44%,52%,47%,45%,43%,46%,45%,46%,44%,51%,49%,47%,49%,-,53%,47%
Akuma,43%,35%,44%,47%,42%,37%,32%,45%,42%,44%,41%,42%,38%,36%,39%,40%,38%,37%,37%,34%,39%,47%,-,40%
