0.975,Population,Ryu,Mbison,Chunli,Ken,Karin,Zangief,Dhalsim,Nash,Vega,Juri,Birdie,Rmika,Rashid,Fang,Laura,Necalli,Cammy,Guile,Ibuki,Balrog,Urien,Alex,Akuma,Aggregate,Percentile,Tier
Population,-,3146,1940,1194,2242,1957,1428,890,1566,1270,1010,1062,1179,1204,591,1869,1382,1983,1559,1354,1590,2287,1058,2839,36600,-,
Ryu,3146,-,40%,44%,57%,51%,45%,64%,58%,56%,42%,55%,59%,55%,47%,61%,45%,52%,48%,58%,48%,49%,61%,53%,51.8%,58.3%,C
Mbison,1940,61%,-,43%,59%,55%,46%,58%,52%,64%,60%,46%,50%,54%,61%,40%,51%,45%,57%,62%,51%,44%,64%,54%,53.1%,87.5%,A
Chunli,1194,58%,58%,-,52%,54%,46%,40%,60%,60%,62%,64%,56%,52%,56%,53%,42%,-,55%,54%,48%,44%,63%,47%,52.9%,79.2%,B
Ken,2242,44%,42%,50%,-,52%,48%,43%,47%,48%,56%,53%,52%,46%,45%,51%,43%,41%,55%,58%,51%,55%,58%,49%,49.2%,29.2%,D
Karin,1957,51%,46%,47%,50%,-,51%,57%,53%,54%,52%,48%,45%,48%,56%,52%,45%,45%,53%,51%,50%,49%,60%,64%,51.2%,50.0%,C
Zangief,1428,56%,56%,56%,53%,50%,-,30%,45%,49%,59%,39%,58%,56%,57%,62%,48%,58%,47%,53%,41%,59%,47%,63%,53.0%,83.3%,A
Dhalsim,890,38%,44%,62%,59%,45%,72%,-,55%,50%,51%,44%,48%,44%,56%,-,43%,41%,52%,44%,48%,52%,61%,51%,49.5%,41.7%,C
Nash,1566,44%,49%,41%,55%,49%,57%,46%,-,44%,32%,48%,55%,41%,52%,48%,43%,46%,55%,57%,48%,48%,57%,58%,49.2%,33.3%,D
Vega,1270,45%,37%,42%,53%,47%,53%,53%,58%,-,59%,49%,53%,53%,52%,38%,40%,37%,46%,43%,48%,42%,56%,73%,49.0%,25.0%,D
Juri,1010,60%,42%,40%,45%,49%,43%,51%,70%,43%,-,48%,52%,73%,28%,53%,44%,39%,62%,64%,54%,48%,42%,34%,49.4%,37.5%,D
Birdie,1062,47%,56%,38%,49%,54%,62%,59%,54%,54%,55%,-,63%,47%,55%,52%,37%,44%,53%,57%,52%,35%,64%,62%,51.4%,54.2%,C
Rmika,1179,43%,52%,46%,50%,57%,44%,54%,47%,49%,50%,39%,-,45%,59%,43%,42%,35%,52%,42%,43%,51%,49%,47%,46.9%,12.5%,Garbage
Rashid,1204,47%,47%,50%,56%,54%,46%,58%,61%,49%,29%,55%,57%,-,58%,48%,51%,42%,43%,60%,53%,58%,62%,67%,52.4%,75.0%,B
Fang,591,55%,40%,47%,57%,46%,45%,46%,51%,50%,74%,47%,44%,44%,-,38%,29%,40%,36%,58%,56%,53%,52%,58%,48.8%,20.8%,D
Laura,1869,41%,61%,49%,51%,49%,40%,-,54%,64%,49%,50%,58%,54%,64%,-,44%,48%,59%,55%,55%,52%,59%,62%,52.3%,70.8%,B
Necalli,1382,56%,51%,60%,59%,57%,54%,59%,58%,62%,59%,65%,60%,51%,73%,58%,-,55%,61%,47%,61%,58%,63%,58%,57.4%,95.8%,God
Cammy,1983,49%,57%,-,60%,56%,43%,60%,55%,65%,62%,58%,67%,60%,62%,54%,46%,-,58%,63%,56%,55%,66%,58%,56.2%,91.7%,S
Guile,1559,53%,44%,46%,46%,49%,55%,50%,46%,56%,40%,49%,50%,59%,66%,43%,41%,44%,-,52%,49%,55%,50%,71%,51.0%,45.8%,C
Ibuki,1354,43%,40%,48%,44%,50%,49%,58%,45%,59%,38%,45%,60%,42%,45%,47%,55%,39%,49%,-,52%,54%,60%,54%,48.5%,16.7%,Garbage
Balrog,1590,53%,51%,54%,50%,52%,61%,54%,53%,54%,48%,50%,59%,49%,46%,47%,41%,45%,52%,49%,-,58%,58%,54%,51.8%,62.5%,B
Urien,2287,53%,58%,58%,46%,53%,43%,50%,53%,59%,53%,67%,51%,43%,49%,49%,43%,46%,47%,48%,44%,-,56%,68%,52.0%,66.7%,B
Alex,1058,41%,38%,39%,43%,42%,55%,41%,45%,46%,60%,38%,53%,40%,50%,43%,39%,36%,52%,42%,43%,45%,-,49%,44.3%,4.2%,Garbage
Akuma,2839,48%,47%,55%,52%,37%,39%,51%,44%,28%,67%,39%,54%,34%,44%,40%,43%,43%,30%,48%,47%,33%,52%,-,44.4%,8.3%,Garbage
