DICTATOR,0.500,0.496,0.505,0.509,0.527,0.492,0.484,0.549,0.567,0.544,0.572,0.542,0.562,0.545,0.53,0.505,0.58,0.56,0.579,0.568,0.59,0.631
CLAW,0.504,0.500,0.488,0.504,0.522,0.473,0.495,0.529,0.524,0.502,0.548,0.542,0.547,0.536,0.539,0.536,0.529,0.538,0.535,0.536,0.564,0.612
Birdie,0.495,0.512,0.500,0.468,0.486,0.498,0.51,0.536,0.531,0.526,0.501,0.514,0.498,0.552,0.496,0.562,0.509,0.533,0.558,0.567,0.595,0.607
Dhalsim,0.491,0.496,0.532,0.500,0.481,0.495,0.476,0.496,0.472,0.562,0.557,0.497,0.517,0.519,0.475,0.639,0.564,0.553,0.55,0.555,0.527,0.569
Urien,0.473,0.478,0.514,0.519,0.500,0.501,0.514,0.522,0.531,0.52,0.493,0.531,0.498,0.525,0.546,0.545,0.523,0.528,0.536,0.574,0.549,0.594
Laura,0.508,0.527,0.502,0.505,0.499,0.500,0.514,0.493,0.545,0.489,0.55,0.534,0.555,0.505,0.531,0.475,0.528,0.523,0.495,0.526,0.518,0.556
R.Mika,0.516,0.505,0.49,0.524,0.486,0.486,0.500,0.51,0.537,0.507,0.527,0.533,0.532,0.5,0.524,0.493,0.53,0.527,0.508,0.531,0.536,0.554
Necalli,0.451,0.471,0.464,0.504,0.478,0.507,0.49,0.500,0.477,0.511,0.515,0.495,0.516,0.516,0.513,0.5,0.543,0.52,0.525,0.524,0.51,0.568
BOXER,0.433,0.476,0.469,0.528,0.469,0.455,0.464,0.523,0.500,0.507,0.518,0.473,0.523,0.514,0.526,0.451,0.534,0.528,0.537,0.533,0.531,0.583
ChunLi,0.456,0.498,0.474,0.438,0.48,0.511,0.493,0.489,0.493,0.500,0.481,0.521,0.483,0.526,0.519,0.523,0.521,0.501,0.53,0.519,0.522,0.541
Nash,0.428,0.452,0.499,0.444,0.507,0.45,0.473,0.485,0.482,0.519,0.500,0.494,0.52,0.486,0.497,0.587,0.518,0.54,0.541,0.537,0.507,0.547
Alex,0.458,0.458,0.486,0.503,0.469,0.466,0.467,0.505,0.527,0.479,0.506,0.500,0.487,0.508,0.495,0.492,0.535,0.504,0.512,0.521,0.533,0.571
FANG,0.438,0.453,0.502,0.483,0.502,0.445,0.468,0.484,0.477,0.517,0.48,0.513,0.500,0.513,0.498,0.508,0.517,0.525,0.52,0.505,0.522,0.561
Karin,0.455,0.464,0.448,0.481,0.476,0.495,0.5,0.484,0.486,0.474,0.514,0.492,0.487,0.500,0.505,0.489,0.548,0.514,0.522,0.521,0.507,0.552
Rashid,0.47,0.461,0.505,0.525,0.454,0.469,0.476,0.487,0.474,0.481,0.503,0.505,0.502,0.495,0.500,0.503,0.486,0.494,0.486,0.504,0.542,0.55
Zangief,0.495,0.464,0.438,0.362,0.455,0.525,0.507,0.5,0.549,0.477,0.413,0.508,0.492,0.511,0.497,0.500,0.475,0.494,0.501,0.539,0.543,0.558
Guile,0.42,0.471,0.491,0.436,0.477,0.472,0.47,0.457,0.466,0.479,0.482,0.465,0.483,0.452,0.514,0.525,0.500,0.526,0.519,0.511,0.48,0.52
Ken,0.44,0.462,0.467,0.447,0.472,0.477,0.473,0.48,0.472,0.499,0.46,0.496,0.475,0.486,0.506,0.506,0.474,0.500,0.489,0.504,0.498,0.529
Ryu,0.421,0.465,0.442,0.45,0.464,0.505,0.492,0.475,0.463,0.47,0.459,0.488,0.48,0.478,0.514,0.499,0.481,0.511,0.500,0.509,0.496,0.538
Cammy,0.432,0.464,0.433,0.445,0.426,0.474,0.469,0.476,0.467,0.481,0.463,0.479,0.496,0.479,0.496,0.461,0.489,0.496,0.491,0.500,0.502,0.53
Ibuki,0.41,0.436,0.405,0.473,0.451,0.482,0.464,0.49,0.469,0.478,0.493,0.467,0.478,0.493,0.458,0.457,0.52,0.502,0.504,0.498,0.500,0.511
Juri,0.369,0.388,0.393,0.431,0.406,0.444,0.446,0.432,0.417,0.459,0.453,0.429,0.439,0.448,0.45,0.442,0.48,0.471,0.462,0.47,0.489,0.500
