DICTATOR,0.500,0.514,0.537,0.531,0.496,0.508,0.517,0.571,0.564,0.557,0.509,0.563,0.566,0.516,0.561,0.536,0.593,0.608,0.576,0.584,0.593,0.644,0.692
Urien,0.486,0.500,0.521,0.544,0.531,0.51,0.562,0.519,0.517,0.55,0.56,0.549,0.551,0.561,0.56,0.557,0.54,0.569,0.586,0.617,0.582,0.619,0.679
BOXER,0.463,0.479,0.500,0.551,0.474,0.508,0.503,0.539,0.531,0.554,0.473,0.536,0.505,0.504,0.545,0.548,0.562,0.586,0.574,0.573,0.58,0.618,0.674
Dhalsim,0.469,0.456,0.449,0.500,0.481,0.498,0.522,0.549,0.531,0.508,0.652,0.519,0.499,0.517,0.528,0.482,0.566,0.561,0.598,0.565,0.574,0.572,0.67
Laura,0.504,0.469,0.526,0.519,0.500,0.528,0.514,0.511,0.551,0.514,0.476,0.505,0.538,0.54,0.515,0.529,0.566,0.524,0.545,0.552,0.548,0.573,0.621
CLAW,0.492,0.49,0.492,0.502,0.472,0.500,0.485,0.492,0.525,0.519,0.535,0.544,0.548,0.516,0.532,0.528,0.552,0.546,0.537,0.539,0.546,0.607,0.647
Birdie,0.483,0.438,0.497,0.478,0.486,0.515,0.500,0.487,0.493,0.539,0.556,0.549,0.511,0.528,0.537,0.484,0.514,0.567,0.555,0.561,0.557,0.599,0.643
Guile,0.429,0.481,0.461,0.451,0.489,0.508,0.513,0.500,0.499,0.477,0.539,0.479,0.485,0.503,0.468,0.548,0.522,0.548,0.533,0.548,0.563,0.542,0.654
Jam,0.436,0.483,0.469,0.469,0.449,0.475,0.507,0.501,0.500,0.482,0.48,0.509,0.506,0.498,0.52,0.507,0.513,0.537,0.55,0.52,0.549,0.569,0.633
Necalli,0.443,0.45,0.446,0.492,0.486,0.481,0.461,0.523,0.518,0.500,0.493,0.487,0.5,0.5,0.507,0.512,0.53,0.538,0.523,0.536,0.536,0.564,0.604
Zangief,0.491,0.44,0.527,0.348,0.525,0.465,0.444,0.461,0.52,0.507,0.500,0.52,0.501,0.526,0.525,0.497,0.454,0.527,0.522,0.56,0.528,0.573,0.64
Ibuki,0.437,0.451,0.464,0.481,0.495,0.456,0.452,0.521,0.491,0.513,0.48,0.500,0.496,0.509,0.524,0.486,0.527,0.529,0.528,0.53,0.541,0.554,0.632
Alex,0.434,0.449,0.495,0.501,0.462,0.452,0.489,0.515,0.494,0.5,0.5,0.504,0.500,0.485,0.497,0.487,0.53,0.527,0.512,0.528,0.522,0.56,0.615
R.Mika,0.484,0.44,0.496,0.483,0.46,0.484,0.472,0.497,0.502,0.5,0.474,0.491,0.515,0.500,0.481,0.498,0.522,0.51,0.529,0.534,0.526,0.541,0.59
Karin,0.439,0.44,0.455,0.472,0.485,0.468,0.463,0.532,0.48,0.493,0.476,0.476,0.503,0.519,0.500,0.508,0.523,0.533,0.513,0.536,0.526,0.556,0.61
Rashid,0.464,0.443,0.452,0.518,0.472,0.472,0.516,0.452,0.493,0.488,0.503,0.514,0.513,0.502,0.492,0.500,0.513,0.496,0.534,0.517,0.501,0.549,0.588
Nash,0.407,0.46,0.438,0.434,0.434,0.448,0.486,0.478,0.487,0.47,0.546,0.473,0.47,0.478,0.477,0.487,0.500,0.54,0.527,0.517,0.536,0.531,0.587
Ryu,0.392,0.431,0.414,0.439,0.476,0.454,0.433,0.452,0.463,0.462,0.473,0.471,0.473,0.49,0.468,0.504,0.46,0.500,0.492,0.501,0.514,0.516,0.552
ChunLi,0.424,0.414,0.426,0.402,0.455,0.464,0.445,0.467,0.45,0.477,0.478,0.472,0.488,0.471,0.487,0.466,0.473,0.508,0.500,0.493,0.485,0.517,0.543
Cammy,0.416,0.384,0.427,0.435,0.448,0.461,0.439,0.452,0.48,0.464,0.44,0.47,0.472,0.466,0.464,0.484,0.483,0.499,0.507,0.500,0.504,0.516,0.573
Ken,0.407,0.418,0.42,0.426,0.452,0.454,0.443,0.437,0.451,0.464,0.472,0.459,0.478,0.474,0.474,0.499,0.464,0.486,0.515,0.496,0.500,0.506,0.54
Juri,0.356,0.381,0.382,0.428,0.427,0.393,0.401,0.458,0.431,0.436,0.427,0.446,0.44,0.459,0.444,0.451,0.469,0.484,0.483,0.484,0.494,0.500,0.569
Akuma,0.308,0.321,0.326,0.33,0.379,0.353,0.357,0.346,0.367,0.396,0.36,0.368,0.385,0.41,0.39,0.412,0.413,0.448,0.457,0.427,0.46,0.431,0.500
