Urien,0.500,0.496,0.53,0.517,0.548,0.531,0.579,0.503,0.52,0.541,0.55,0.569,0.585,0.575,0.572,0.567,0.577,0.563,0.604,0.587,0.578,0.579,0.585,0.599
DICTATOR,0.504,0.500,0.553,0.489,0.532,0.487,0.52,0.568,0.55,0.561,0.561,0.544,0.521,0.567,0.511,0.566,0.562,0.6,0.587,0.582,0.583,0.589,0.607,0.627
BOXER,0.47,0.447,0.500,0.505,0.537,0.468,0.506,0.515,0.523,0.517,0.546,0.546,0.491,0.515,0.506,0.547,0.558,0.562,0.567,0.571,0.557,0.555,0.581,0.598
CLAW,0.483,0.511,0.495,0.500,0.548,0.466,0.501,0.525,0.48,0.525,0.522,0.515,0.545,0.557,0.518,0.536,0.53,0.568,0.531,0.548,0.549,0.554,0.546,0.585
Dhalsim,0.452,0.468,0.463,0.452,0.500,0.477,0.531,0.504,0.559,0.495,0.499,0.477,0.672,0.474,0.517,0.537,0.499,0.565,0.538,0.58,0.592,0.587,0.601,0.568
Laura,0.469,0.513,0.532,0.534,0.523,0.500,0.504,0.527,0.498,0.498,0.505,0.54,0.469,0.537,0.536,0.516,0.557,0.571,0.544,0.524,0.541,0.515,0.523,0.525
Birdie,0.421,0.48,0.494,0.499,0.469,0.496,0.500,0.475,0.46,0.534,0.538,0.476,0.559,0.514,0.531,0.538,0.562,0.512,0.563,0.537,0.532,0.557,0.552,0.583
FANG,0.497,0.432,0.485,0.475,0.496,0.473,0.525,0.500,0.501,0.503,0.488,0.484,0.498,0.513,0.527,0.549,0.551,0.547,0.53,0.558,0.584,0.55,0.559,0.543
Guile,0.48,0.45,0.477,0.52,0.441,0.502,0.54,0.499,0.500,0.477,0.483,0.545,0.537,0.503,0.508,0.479,0.551,0.546,0.537,0.569,0.549,0.576,0.558,0.524
Ibuki,0.46,0.439,0.483,0.475,0.505,0.502,0.466,0.497,0.523,0.500,0.519,0.505,0.496,0.521,0.526,0.53,0.554,0.548,0.53,0.551,0.563,0.542,0.546,0.551
Necalli,0.45,0.439,0.454,0.478,0.501,0.495,0.462,0.512,0.517,0.481,0.500,0.498,0.503,0.489,0.494,0.509,0.506,0.54,0.517,0.532,0.538,0.531,0.538,0.529
Rashid,0.431,0.456,0.454,0.485,0.523,0.46,0.524,0.516,0.455,0.495,0.502,0.500,0.51,0.512,0.51,0.508,0.504,0.519,0.51,0.503,0.53,0.521,0.5,0.546
Zangief,0.415,0.48,0.509,0.455,0.328,0.531,0.441,0.502,0.463,0.504,0.497,0.49,0.500,0.502,0.525,0.526,0.535,0.465,0.552,0.521,0.526,0.563,0.524,0.536
Alex,0.425,0.433,0.485,0.443,0.526,0.463,0.486,0.487,0.497,0.479,0.511,0.488,0.498,0.500,0.491,0.506,0.491,0.527,0.523,0.517,0.513,0.524,0.53,0.537
R.Mika,0.428,0.489,0.494,0.482,0.483,0.464,0.469,0.473,0.492,0.474,0.506,0.49,0.475,0.509,0.500,0.483,0.491,0.521,0.525,0.514,0.517,0.536,0.512,0.523
Karin,0.433,0.434,0.453,0.464,0.463,0.484,0.462,0.451,0.521,0.47,0.491,0.492,0.474,0.494,0.517,0.500,0.501,0.537,0.528,0.526,0.507,0.526,0.536,0.535
Kolin,0.423,0.438,0.442,0.47,0.501,0.443,0.438,0.449,0.449,0.446,0.494,0.496,0.465,0.509,0.509,0.499,0.500,0.525,0.529,0.525,0.505,0.499,0.511,0.53
Nash,0.437,0.4,0.438,0.432,0.435,0.429,0.488,0.453,0.454,0.452,0.46,0.481,0.535,0.473,0.479,0.463,0.475,0.500,0.499,0.516,0.517,0.519,0.538,0.505
Cammy,0.396,0.413,0.433,0.469,0.462,0.456,0.437,0.47,0.463,0.47,0.483,0.49,0.448,0.477,0.475,0.472,0.471,0.501,0.500,0.517,0.509,0.527,0.517,0.496
Ken,0.413,0.418,0.429,0.452,0.421,0.476,0.463,0.442,0.431,0.449,0.468,0.497,0.479,0.483,0.486,0.474,0.475,0.484,0.483,0.500,0.51,0.493,0.486,0.503
ChunLi,0.422,0.417,0.443,0.451,0.409,0.459,0.468,0.416,0.451,0.437,0.462,0.47,0.474,0.487,0.483,0.493,0.495,0.483,0.491,0.49,0.500,0.496,0.503,0.501
Akuma,0.421,0.411,0.445,0.446,0.413,0.485,0.443,0.45,0.424,0.458,0.469,0.479,0.437,0.476,0.464,0.474,0.501,0.481,0.473,0.507,0.504,0.500,0.495,0.494
Ryu,0.416,0.393,0.42,0.454,0.399,0.477,0.448,0.441,0.442,0.454,0.462,0.5,0.476,0.47,0.488,0.464,0.489,0.462,0.483,0.514,0.497,0.505,0.500,0.492
Juri,0.401,0.373,0.402,0.415,0.432,0.475,0.417,0.457,0.476,0.449,0.471,0.454,0.464,0.463,0.477,0.465,0.47,0.495,0.504,0.497,0.5,0.506,0.508,0.500
