DICTATOR,0.500,0.531,0.493,0.495,0.542,0.563,0.55,0.557,0.555,0.491,0.55,0.569,0.564,0.559,0.518,0.541,0.547,0.511,0.602,0.582,0.613,0.568,0.573,0.588,0.61,0.664
Urien,0.469,0.500,0.533,0.486,0.47,0.52,0.533,0.502,0.516,0.506,0.536,0.538,0.536,0.553,0.58,0.53,0.532,0.538,0.548,0.569,0.575,0.579,0.564,0.555,0.566,0.652
Birdie,0.507,0.467,0.500,0.498,0.505,0.517,0.494,0.493,0.56,0.516,0.513,0.557,0.551,0.531,0.571,0.488,0.568,0.543,0.539,0.569,0.578,0.555,0.542,0.57,0.572,0.561
CLAW,0.505,0.514,0.502,0.500,0.514,0.489,0.56,0.506,0.526,0.473,0.545,0.546,0.52,0.528,0.541,0.533,0.501,0.529,0.572,0.523,0.587,0.532,0.54,0.545,0.547,0.696
FANG,0.458,0.53,0.495,0.486,0.500,0.503,0.492,0.532,0.495,0.481,0.535,0.561,0.525,0.508,0.524,0.502,0.526,0.541,0.561,0.537,0.563,0.561,0.566,0.541,0.577,0.615
BOXER,0.437,0.48,0.483,0.511,0.497,0.500,0.545,0.531,0.517,0.466,0.501,0.542,0.544,0.535,0.478,0.537,0.543,0.496,0.563,0.556,0.589,0.55,0.554,0.55,0.575,0.575
Dhalsim,0.45,0.467,0.506,0.44,0.508,0.455,0.500,0.552,0.504,0.48,0.479,0.53,0.499,0.517,0.679,0.464,0.468,0.505,0.546,0.533,0.531,0.563,0.545,0.555,0.579,0.57
Guile,0.444,0.498,0.507,0.494,0.468,0.469,0.448,0.500,0.47,0.485,0.475,0.47,0.48,0.539,0.531,0.541,0.528,0.5,0.541,0.522,0.512,0.52,0.567,0.565,0.555,0.684
Ibuki,0.445,0.484,0.44,0.474,0.505,0.483,0.496,0.53,0.500,0.503,0.515,0.536,0.522,0.516,0.49,0.504,0.541,0.526,0.554,0.541,0.539,0.536,0.539,0.534,0.541,0.572
Laura,0.509,0.494,0.484,0.527,0.519,0.534,0.521,0.515,0.497,0.500,0.525,0.509,0.512,0.489,0.472,0.526,0.54,0.538,0.568,0.531,0.525,0.538,0.512,0.503,0.516,0.608
Alex,0.45,0.464,0.487,0.455,0.465,0.499,0.521,0.525,0.485,0.475,0.500,0.508,0.529,0.481,0.521,0.486,0.485,0.49,0.543,0.534,0.542,0.505,0.524,0.526,0.541,0.605
