DICTATOR,0.500,0.533,0.553,0.491,0.547,0.493,0.554,0.557,0.543,0.5,0.563,0.538,0.513,0.542,0.571,0.562,0.561,0.548,0.514,0.595,0.575,0.563,0.599,0.574,0.582,0.637,0.752
Urien,0.467,0.500,0.457,0.492,0.516,0.535,0.536,0.505,0.518,0.511,0.534,0.55,0.523,0.517,0.532,0.539,0.548,0.538,0.564,0.536,0.549,0.569,0.555,0.568,0.58,0.566,0.681
Jam,0.447,0.543,0.500,0.461,0.502,0.501,0.535,0.539,0.524,0.479,0.549,0.522,0.537,0.53,0.537,0.576,0.511,0.526,0.512,0.561,0.541,0.566,0.587,0.57,0.545,0.585,0.664
CLAW,0.509,0.508,0.539,0.500,0.491,0.498,0.568,0.507,0.506,0.472,0.555,0.581,0.506,0.508,0.511,0.541,0.543,0.523,0.546,0.553,0.535,0.531,0.558,0.539,0.535,0.586,0.695
BOXER,0.453,0.484,0.498,0.509,0.500,0.482,0.554,0.537,0.533,0.479,0.517,0.472,0.497,0.553,0.555,0.546,0.542,0.545,0.473,0.557,0.54,0.543,0.574,0.564,0.556,0.584,0.702
Birdie,0.507,0.465,0.499,0.502,0.518,0.500,0.504,0.497,0.555,0.505,0.51,0.463,0.542,0.567,0.553,0.561,0.531,0.485,0.561,0.533,0.551,0.538,0.558,0.535,0.565,0.581,0.648
Dhalsim,0.446,0.464,0.465,0.432,0.446,0.496,0.500,0.562,0.493,0.48,0.466,0.483,0.485,0.457,0.511,0.522,0.533,0.469,0.668,0.537,0.563,0.58,0.576,0.555,0.539,0.54,0.666
Guile,0.443,0.495,0.461,0.493,0.463,0.503,0.438,0.500,0.465,0.479,0.481,0.571,0.497,0.516,0.476,0.461,0.539,0.539,0.523,0.534,0.546,0.521,0.546,0.562,0.522,0.514,0.671
Ibuki,0.457,0.482,0.476,0.494,0.467,0.445,0.507,0.535,0.500,0.506,0.505,0.491,0.506,0.535,0.526,0.526,0.534,0.488,0.491,0.545,0.525,0.532,0.534,0.542,0.524,0.544,0.645
Laura,0.5,0.489,0.521,0.528,0.521,0.496,0.52,0.521,0.494,0.500,0.534,0.511,0.527,0.537,0.508,0.511,0.502,0.54,0.465,0.576,0.492,0.532,0.51,0.508,0.537,0.525,0.651
Alex,0.437,0.466,0.451,0.445,0.483,0.49,0.534,0.519,0.495,0.466,0.500,0.494,0.489,0.479,0.522,0.506,0.479,0.476,0.516,0.53,0.523,0.505,0.533,0.519,0.533,0.547,0.678
Abigail,0.462,0.45,0.478,0.419,0.528,0.537,0.517,0.429,0.509,0.489,0.506,0.500,0.533,0.536,0.506,0.528,0.459,0.485,0.584,0.517,0.507,0.512,0.518,0.489,0.564,0.547,0.644
R.Mika,0.488,0.477,0.463,0.494,0.503,0.458,0.515,0.503,0.494,0.473,0.511,0.467,0.500,0.489,0.504,0.487,0.494,0.499,0.482,0.52,0.535,0.512,0.514,0.51,0.53,0.535,0.641
Kolin,0.458,0.484,0.47,0.492,0.447,0.433,0.543,0.484,0.465,0.463,0.521,0.464,0.511,0.500,0.528,0.519,0.473,0.518,0.467,0.543,0.495,0.523,0.518,0.524,0.547,0.538,0.647
Necalli,0.429,0.468,0.463,0.489,0.445,0.447,0.489,0.524,0.474,0.492,0.478,0.494,0.496,0.472,0.500,0.498,0.514,0.49,0.499,0.539,0.514,0.536,0.528,0.526,0.52,0.526,0.626
Karin,0.438,0.461,0.424,0.459,0.454,0.439,0.478,0.539,0.474,0.489,0.494,0.472,0.513,0.481,0.502,0.500,0.519,0.509,0.489,0.523,0.515,0.508,0.527,0.525,0.533,0.528,0.602
Edd,0.439,0.452,0.489,0.457,0.458,0.469,0.468,0.461,0.466,0.498,0.521,0.541,0.506,0.527,0.486,0.481,0.500,0.52,0.516,0.492,0.504,0.513,0.482,0.503,0.535,0.538,0.656
Rashid,0.452,0.462,0.474,0.477,0.455,0.515,0.531,0.461,0.512,0.46,0.524,0.515,0.501,0.482,0.51,0.491,0.48,0.500,0.512,0.508,0.504,0.517,0.497,0.498,0.5,0.539,0.65
Zangief,0.486,0.436,0.488,0.454,0.527,0.439,0.332,0.477,0.509,0.535,0.484,0.416,0.518,0.533,0.501,0.511,0.484,0.488,0.500,0.446,0.554,0.517,0.519,0.518,0.543,0.539,0.501
Nash,0.405,0.464,0.439,0.447,0.443,0.467,0.463,0.466,0.455,0.424,0.47,0.484,0.48,0.457,0.461,0.477,0.508,0.492,0.554,0.500,0.512,0.509,0.534,0.522,0.514,0.508,0.651
Akuma,0.425,0.451,0.459,0.465,0.46,0.449,0.437,0.454,0.475,0.508,0.477,0.493,0.465,0.505,0.486,0.485,0.496,0.496,0.446,0.488,0.500,0.512,0.5,0.509,0.488,0.505,0.587
ChunLi,0.437,0.431,0.434,0.469,0.457,0.462,0.421,0.48,0.468,0.468,0.495,0.488,0.488,0.477,0.464,0.492,0.487,0.484,0.483,0.491,0.488,0.500,0.502,0.495,0.497,0.504,0.56
Ryu,0.401,0.445,0.413,0.442,0.426,0.442,0.424,0.454,0.466,0.49,0.467,0.482,0.486,0.482,0.472,0.473,0.518,0.503,0.481,0.466,0.5,0.498,0.500,0.523,0.495,0.494,0.581
Ken,0.426,0.432,0.43,0.461,0.437,0.465,0.445,0.438,0.458,0.492,0.481,0.511,0.49,0.476,0.474,0.475,0.497,0.502,0.482,0.478,0.491,0.505,0.477,0.500,0.49,0.506,0.579
Cammy,0.418,0.421,0.455,0.465,0.444,0.435,0.461,0.478,0.476,0.464,0.467,0.436,0.47,0.453,0.48,0.467,0.465,0.5,0.457,0.486,0.512,0.503,0.505,0.51,0.500,0.497,0.527
Juri,0.363,0.434,0.415,0.414,0.416,0.419,0.46,0.486,0.456,0.475,0.453,0.453,0.465,0.462,0.474,0.472,0.462,0.461,0.461,0.492,0.495,0.496,0.506,0.494,0.503,0.500,0.594
Menat,0.248,0.319,0.336,0.306,0.298,0.352,0.334,0.329,0.355,0.35,0.322,0.356,0.359,0.353,0.374,0.398,0.344,0.35,0.499,0.349,0.413,0.44,0.419,0.421,0.473,0.406,0.500
