DICTATOR,0.500,0.541,0.488,0.52,0.544,0.559,0.517,0.513,0.558,0.5,0.553,0.548,0.54,0.564,0.517,0.562,0.508,0.568,0.551,0.587,0.586,0.603,0.612,0.591,0.574,0.587,0.591,0.66
Jam,0.459,0.500,0.479,0.546,0.517,0.541,0.516,0.537,0.54,0.484,0.528,0.532,0.538,0.555,0.534,0.574,0.527,0.526,0.547,0.576,0.556,0.599,0.588,0.545,0.58,0.587,0.608,0.58
CLAW,0.512,0.521,0.500,0.522,0.48,0.563,0.567,0.528,0.516,0.473,0.532,0.53,0.508,0.565,0.535,0.551,0.559,0.521,0.534,0.573,0.549,0.564,0.577,0.544,0.549,0.553,0.6,0.606
Urien,0.48,0.454,0.478,0.500,0.525,0.532,0.543,0.554,0.499,0.511,0.53,0.545,0.532,0.548,0.524,0.535,0.57,0.551,0.545,0.542,0.55,0.556,0.561,0.574,0.567,0.566,0.584,0.6
BOXER,0.456,0.483,0.52,0.475,0.500,0.546,0.448,0.501,0.543,0.474,0.525,0.528,0.54,0.515,0.505,0.549,0.479,0.562,0.539,0.564,0.54,0.574,0.596,0.555,0.56,0.546,0.595,0.625
Dhalsim,0.441,0.459,0.437,0.468,0.454,0.500,0.472,0.522,0.573,0.478,0.478,0.513,0.467,0.471,0.489,0.539,0.662,0.503,0.466,0.559,0.563,0.584,0.524,0.537,0.547,0.57,0.558,0.588
Abigail,0.483,0.484,0.433,0.457,0.552,0.528,0.500,0.554,0.442,0.513,0.521,0.474,0.548,0.514,0.538,0.539,0.597,0.515,0.507,0.53,0.512,0.523,0.562,0.58,0.505,0.536,0.557,0.587
Birdie,0.487,0.463,0.472,0.446,0.499,0.478,0.446,0.500,0.473,0.492,0.532,0.504,0.535,0.514,0.519,0.545,0.553,0.554,0.476,0.522,0.545,0.547,0.559,0.561,0.522,0.535,0.571,0.563
Guile,0.442,0.46,0.484,0.501,0.457,0.427,0.558,0.527,0.500,0.487,0.471,0.533,0.524,0.487,0.498,0.469,0.529,0.482,0.544,0.529,0.554,0.548,0.516,0.521,0.562,0.533,0.557,0.573
Laura,0.5,0.516,0.527,0.489,0.526,0.522,0.488,0.508,0.513,0.500,0.502,0.484,0.547,0.534,0.537,0.514,0.475,0.516,0.533,0.556,0.504,0.512,0.53,0.535,0.517,0.545,0.563,0.589
Ibuki,0.447,0.472,0.468,0.47,0.475,0.522,0.479,0.468,0.529,0.498,0.500,0.501,0.532,0.498,0.51,0.52,0.5,0.526,0.5,0.545,0.523,0.537,0.527,0.525,0.541,0.537,0.545,0.574
Edd,0.452,0.468,0.47,0.455,0.472,0.487,0.526,0.496,0.467,0.516,0.499,0.500,0.515,0.516,0.528,0.498,0.54,0.505,0.534,0.513,0.52,0.497,0.527,0.541,0.52,0.532,0.519,0.606
Kolin,0.46,0.462,0.492,0.468,0.46,0.533,0.452,0.465,0.476,0.453,0.468,0.485,0.500,0.531,0.513,0.508,0.48,0.529,0.514,0.529,0.503,0.515,0.54,0.55,0.525,0.537,0.544,0.584
Alex,0.436,0.445,0.435,0.452,0.485,0.529,0.486,0.486,0.513,0.466,0.502,0.484,0.469,0.500,0.492,0.505,0.51,0.522,0.477,0.527,0.517,0.527,0.533,0.524,0.52,0.517,0.525,0.605
R.Mika,0.483,0.466,0.465,0.476,0.495,0.511,0.462,0.481,0.502,0.463,0.49,0.472,0.488,0.508,0.500,0.493,0.478,0.509,0.484,0.517,0.537,0.513,0.522,0.521,0.507,0.52,0.538,0.564
Karin,0.438,0.426,0.449,0.465,0.451,0.461,0.461,0.455,0.531,0.486,0.48,0.502,0.492,0.495,0.507,0.500,0.485,0.497,0.505,0.533,0.516,0.526,0.532,0.528,0.527,0.522,0.526,0.529
Zangief,0.492,0.473,0.441,0.43,0.521,0.338,0.403,0.447,0.471,0.525,0.5,0.46,0.52,0.49,0.522,0.515,0.500,0.496,0.49,0.456,0.556,0.525,0.531,0.546,0.522,0.525,0.518,0.434
Necalli,0.432,0.474,0.479,0.449,0.438,0.497,0.485,0.446,0.518,0.484,0.474,0.495,0.472,0.478,0.491,0.503,0.504,0.500,0.492,0.526,0.518,0.526,0.517,0.518,0.522,0.532,0.537,0.541
