DICTATOR,0.500,0.511,0.54,0.549,0.494,0.557,0.501,0.551,0.512,0.556,0.553,0.549,0.565,0.512,0.502,0.511,0.564,0.583,0.558,0.557,0.597,0.614,0.584,0.572,0.572,0.587,0.587,0.632,0.676
Urien,0.489,0.500,0.464,0.496,0.532,0.539,0.504,0.532,0.56,0.55,0.531,0.543,0.546,0.545,0.541,0.574,0.55,0.554,0.563,0.552,0.558,0.573,0.552,0.561,0.564,0.585,0.581,0.58,0.665
Jam,0.46,0.536,0.500,0.517,0.482,0.525,0.482,0.529,0.53,0.529,0.547,0.495,0.523,0.534,0.506,0.513,0.573,0.563,0.54,0.531,0.575,0.541,0.537,0.581,0.554,0.58,0.529,0.546,0.65
Guile,0.451,0.504,0.483,0.500,0.55,0.442,0.513,0.485,0.53,0.494,0.492,0.546,0.493,0.515,0.508,0.546,0.489,0.549,0.546,0.562,0.557,0.527,0.562,0.542,0.567,0.561,0.54,0.568,0.657
Abigail,0.506,0.468,0.518,0.45,0.500,0.538,0.475,0.569,0.566,0.529,0.553,0.485,0.529,0.541,0.53,0.598,0.548,0.548,0.583,0.523,0.53,0.556,0.522,0.549,0.522,0.549,0.592,0.582,0.611
Dhalsim,0.443,0.461,0.475,0.558,0.462,0.500,0.433,0.456,0.536,0.473,0.511,0.537,0.508,0.485,0.482,0.674,0.536,0.562,0.485,0.48,0.572,0.547,0.569,0.566,0.553,0.533,0.534,0.562,0.651
CLAW,0.499,0.496,0.518,0.487,0.525,0.567,0.500,0.48,0.499,0.535,0.532,0.527,0.5,0.513,0.472,0.544,0.54,0.552,0.512,0.518,0.543,0.564,0.534,0.522,0.531,0.579,0.536,0.585,0.634
BOXER,0.449,0.468,0.471,0.515,0.431,0.544,0.52,0.500,0.487,0.492,0.521,0.507,0.54,0.509,0.484,0.456,0.541,0.557,0.539,0.549,0.555,0.557,0.531,0.558,0.544,0.571,0.55,0.6,0.63
Birdie,0.488,0.44,0.47,0.47,0.434,0.464,0.501,0.513,0.500,0.494,0.529,0.516,0.542,0.517,0.495,0.549,0.537,0.523,0.546,0.485,0.55,0.567,0.542,0.546,0.522,0.56,0.562,0.555,0.603
Alex,0.444,0.45,0.471,0.506,0.471,0.527,0.465,0.508,0.506,0.500,0.503,0.484,0.521,0.503,0.491,0.519,0.516,0.522,0.504,0.505,0.541,0.539,0.525,0.513,0.529,0.526,0.537,0.601,0.611
Ibuki,0.447,0.469,0.453,0.509,0.447,0.489,0.468,0.479,0.471,0.497,0.500,0.503,0.526,0.504,0.521,0.491,0.522,0.54,0.526,0.496,0.522,0.52,0.509,0.532,0.521,0.533,0.527,0.566,0.608
Edd,0.451,0.457,0.505,0.454,0.515,0.463,0.473,0.493,0.484,0.516,0.497,0.500,0.498,0.511,0.521,0.528,0.492,0.509,0.536,0.535,0.493,0.515,0.514,0.518,0.507,0.51,0.547,0.595,0.603
