DICTATOR,0.500,0.52,0.486,0.547,0.548,0.494,0.501,0.571,0.557,0.552,0.54,0.537,0.495,0.557,0.521,0.577,0.555,0.504,0.538,0.587,0.549,0.595,0.582,0.56,0.566,0.582,0.582,0.592,0.629,0.607
Urien,0.48,0.500,0.528,0.476,0.495,0.556,0.512,0.534,0.521,0.554,0.529,0.558,0.545,0.535,0.566,0.55,0.548,0.545,0.557,0.537,0.548,0.562,0.55,0.55,0.557,0.579,0.544,0.559,0.573,0.605
Abigail,0.514,0.472,0.500,0.51,0.466,0.553,0.474,0.523,0.58,0.515,0.484,0.571,0.559,0.553,0.611,0.534,0.559,0.537,0.579,0.543,0.516,0.554,0.525,0.515,0.561,0.565,0.529,0.611,0.567,0.537
FANG,0.453,0.524,0.49,0.500,0.531,0.5,0.481,0.485,0.536,0.539,0.474,0.504,0.526,0.513,0.496,0.517,0.55,0.51,0.535,0.569,0.513,0.529,0.563,0.549,0.571,0.559,0.537,0.525,0.515,0.588
Guile,0.452,0.505,0.534,0.469,0.500,0.526,0.513,0.454,0.483,0.48,0.531,0.539,0.511,0.492,0.527,0.49,0.486,0.508,0.532,0.535,0.56,0.519,0.541,0.563,0.528,0.539,0.551,0.535,0.565,0.576
Birdie,0.506,0.444,0.447,0.5,0.474,0.500,0.549,0.485,0.539,0.499,0.499,0.525,0.511,0.535,0.562,0.557,0.554,0.514,0.559,0.539,0.498,0.559,0.551,0.52,0.535,0.566,0.545,0.553,0.543,0.545
CLAW,0.499,0.488,0.526,0.519,0.487,0.451,0.500,0.582,0.466,0.537,0.511,0.514,0.491,0.517,0.527,0.518,0.534,0.47,0.5,0.55,0.527,0.569,0.533,0.534,0.499,0.576,0.533,0.545,0.56,0.569
Dhalsim,0.429,0.466,0.477,0.515,0.546,0.515,0.418,0.500,0.444,0.471,0.492,0.442,0.515,0.495,0.686,0.48,0.514,0.5,0.468,0.537,0.45,0.505,0.565,0.534,0.562,0.511,0.561,0.526,0.554,0.584
BOXER,0.443,0.479,0.42,0.464,0.517,0.461,0.534,0.556,0.500,0.463,0.5,0.532,0.481,0.516,0.441,0.528,0.534,0.472,0.528,0.551,0.548,0.544,0.541,0.535,0.535,0.559,0.527,0.542,0.598,0.567
Alex,0.448,0.446,0.485,0.461,0.52,0.501,0.463,0.529,0.537,0.500,0.471,0.518,0.497,0.517,0.523,0.535,0.506,0.489,0.512,0.515,0.487,0.542,0.523,0.513,0.52,0.536,0.531,0.539,0.59,0.534
Edd,0.46,0.471,0.516,0.526,0.469,0.501,0.489,0.508,0.501,0.529,0.500,0.516,0.517,0.511,0.524,0.503,0.506,0.536,0.53,0.514,0.536,0.53,0.492,0.504,0.526,0.52,0.512,0.543,0.575,0.546
Blanka,0.463,0.442,0.429,0.496,0.461,0.475,0.486,0.558,0.468,0.482,0.484,0.500,0.5,0.516,0.511,0.515,0.524,0.466,0.516,0.524,0.521,0.527,0.532,0.534,0.529,0.518,0.547,0.543,0.563,0.546
R.Mika,0.505,0.455,0.441,0.474,0.489,0.489,0.509,0.485,0.519,0.503,0.484,0.5,0.500,0.499,0.473,0.52,0.482,0.486,0.486,0.524,0.492,0.512,0.506,0.505,0.511,0.526,0.545,0.528,0.544,0.55
Ibuki,0.443,0.465,0.447,0.487,0.508,0.465,0.483,0.505,0.484,0.483,0.489,0.484,0.501,0.500,0.472,0.515,0.508,0.508,0.517,0.528,0.497,0.494,0.517,0.516,0.529,0.522,0.505,0.523,0.526,0.547
Zangief,0.479,0.434,0.389,0.504,0.473,0.438,0.473,0.314,0.559,0.477,0.476,0.489,0.527,0.528,0.500,0.499,0.517,0.551,0.532,0.451,0.499,0.521,0.514,0.507,0.52,0.489,0.559,0.549,0.416,0.529
Necalli,0.423,0.45,0.466,0.484,0.51,0.443,0.482,0.52,0.472,0.465,0.497,0.485,0.48,0.485,0.501,0.500,0.48,0.519,0.492,0.497,0.514,0.496,0.518,0.513,0.526,0.515,0.522,0.543,0.516,0.548
Karin,0.445,0.452,0.441,0.45,0.514,0.446,0.466,0.486,0.466,0.494,0.494,0.476,0.518,0.492,0.483,0.52,0.500,0.521,0.496,0.525,0.507,0.518,0.515,0.51,0.501,0.495,0.51,0.521,0.514,0.555
Laura,0.496,0.455,0.463,0.49,0.492,0.486,0.53,0.5,0.528,0.511,0.464,0.534,0.514,0.492,0.449,0.481,0.479,0.500,0.517,0.539,0.51,0.498,0.486,0.49,0.507,0.533,0.489,0.516,0.546,0.512
Kolin,0.462,0.443,0.421,0.465,0.468,0.441,0.5,0.532,0.472,0.488,0.47,0.484,0.514,0.483,0.468,0.509,0.504,0.483,0.500,0.514,0.501,0.519,0.517,0.52,0.498,0.522,0.493,0.542,0.542,0.557
Nash,0.413,0.464,0.457,0.432,0.465,0.461,0.45,0.463,0.449,0.485,0.486,0.476,0.476,0.472,0.549,0.503,0.475,0.461,0.486,0.500,0.496,0.5,0.53,0.516,0.51,0.491,0.511,0.499,0.541,0.53
Rashid,0.451,0.452,0.484,0.487,0.44,0.502,0.473,0.55,0.452,0.513,0.464,0.479,0.508,0.503,0.501,0.486,0.493,0.49,0.499,0.504,0.500,0.509,0.492,0.484,0.518,0.521,0.502,0.491,0.55,0.527
Juri,0.405,0.438,0.446,0.471,0.481,0.441,0.431,0.495,0.456,0.458,0.47,0.473,0.488,0.506,0.479,0.504,0.482,0.502,0.481,0.5,0.492,0.500,0.503,0.495,0.5,0.516,0.512,0.522,0.528,0.547
Ryu,0.418,0.45,0.475,0.437,0.459,0.449,0.467,0.435,0.459,0.477,0.508,0.468,0.494,0.484,0.486,0.482,0.485,0.514,0.483,0.47,0.508,0.497,0.500,0.522,0.49,0.5,0.501,0.507,0.489,0.546
Ken,0.44,0.45,0.485,0.451,0.437,0.48,0.466,0.466,0.465,0.487,0.496,0.466,0.495,0.484,0.493,0.487,0.49,0.51,0.48,0.484,0.516,0.505,0.478,0.500,0.517,0.494,0.494,0.509,0.502,0.528
ChunLi,0.434,0.443,0.439,0.429,0.472,0.465,0.501,0.438,0.465,0.48,0.474,0.472,0.489,0.471,0.48,0.474,0.5,0.493,0.502,0.49,0.482,0.5,0.51,0.483,0.500,0.511,0.494,0.502,0.451,0.533
Zeku,0.418,0.421,0.435,0.441,0.461,0.434,0.424,0.489,0.441,0.464,0.48,0.482,0.474,0.478,0.511,0.485,0.505,0.467,0.478,0.509,0.479,0.484,0.5,0.506,0.489,0.500,0.512,0.526,0.515,0.543
Akuma,0.418,0.456,0.471,0.463,0.449,0.455,0.467,0.44,0.473,0.469,0.488,0.453,0.455,0.495,0.441,0.478,0.49,0.511,0.507,0.489,0.498,0.488,0.499,0.506,0.506,0.488,0.500,0.495,0.499,0.533
Cammy,0.408,0.441,0.389,0.475,0.465,0.448,0.455,0.474,0.458,0.461,0.457,0.457,0.472,0.477,0.451,0.457,0.479,0.484,0.458,0.501,0.509,0.478,0.493,0.491,0.498,0.474,0.505,0.500,0.473,0.528
Menat,0.371,0.427,0.433,0.485,0.435,0.457,0.44,0.446,0.402,0.41,0.425,0.437,0.456,0.474,0.585,0.484,0.486,0.454,0.458,0.459,0.45,0.472,0.511,0.498,0.549,0.485,0.501,0.527,0.500,0.505
Sakura,0.393,0.395,0.463,0.412,0.424,0.455,0.431,0.416,0.433,0.466,0.454,0.454,0.45,0.453,0.472,0.452,0.445,0.488,0.443,0.47,0.473,0.453,0.454,0.472,0.467,0.457,0.467,0.472,0.495,0.500
