DICTATOR,0.500,0.518,0.47,0.556,0.499,0.544,0.551,0.553,0.505,0.5,0.546,0.536,0.49,0.564,0.541,0.509,0.54,0.559,0.572,0.497,0.568,0.589,0.549,0.583,0.548,0.553,0.586,0.574,0.62,0.625,0.59
Urien,0.482,0.500,0.488,0.539,0.541,0.472,0.495,0.512,0.566,0.55,0.545,0.548,0.533,0.533,0.552,0.568,0.556,0.551,0.532,0.554,0.559,0.572,0.545,0.551,0.55,0.549,0.567,0.551,0.567,0.581,0.588
CLAW,0.53,0.512,0.500,0.585,0.512,0.533,0.502,0.486,0.505,0.573,0.549,0.519,0.492,0.537,0.529,0.543,0.51,0.52,0.552,0.497,0.577,0.573,0.533,0.538,0.504,0.535,0.546,0.543,0.576,0.606,0.565
Dhalsim,0.444,0.461,0.415,0.500,0.449,0.494,0.554,0.461,0.55,0.505,0.464,0.521,0.501,0.522,0.543,0.664,0.479,0.486,0.542,0.482,0.507,0.518,0.545,0.582,0.595,0.472,0.538,0.575,0.527,0.627,0.586
Blanka,0.501,0.459,0.488,0.551,0.500,0.53,0.483,0.505,0.491,0.452,0.504,0.507,0.517,0.552,0.541,0.526,0.53,0.529,0.538,0.486,0.524,0.554,0.533,0.546,0.554,0.543,0.555,0.555,0.6,0.568,0.563
FANG,0.456,0.528,0.467,0.506,0.47,0.500,0.508,0.529,0.526,0.528,0.525,0.484,0.523,0.522,0.559,0.505,0.54,0.501,0.54,0.509,0.552,0.553,0.524,0.55,0.571,0.516,0.522,0.527,0.527,0.6,0.581
Guile,0.449,0.505,0.498,0.446,0.517,0.492,0.500,0.484,0.536,0.544,0.477,0.532,0.504,0.499,0.481,0.521,0.525,0.505,0.522,0.509,0.533,0.528,0.553,0.544,0.524,0.561,0.531,0.553,0.548,0.599,0.574
BOXER,0.447,0.488,0.514,0.539,0.495,0.471,0.516,0.500,0.482,0.462,0.485,0.513,0.501,0.527,0.53,0.452,0.52,0.548,0.545,0.489,0.555,0.54,0.528,0.55,0.541,0.557,0.537,0.527,0.572,0.625,0.57
Birdie,0.496,0.434,0.495,0.45,0.509,0.474,0.464,0.518,0.500,0.449,0.485,0.5,0.508,0.522,0.545,0.561,0.545,0.543,0.519,0.504,0.553,0.564,0.517,0.537,0.518,0.484,0.549,0.527,0.525,0.552,0.532
Abigail,0.5,0.45,0.427,0.496,0.548,0.472,0.456,0.538,0.551,0.500,0.508,0.451,0.535,0.544,0.531,0.589,0.533,0.51,0.513,0.525,0.527,0.531,0.49,0.516,0.533,0.508,0.567,0.517,0.533,0.533,0.508
Alex,0.454,0.455,0.451,0.536,0.496,0.475,0.523,0.515,0.515,0.492,0.500,0.465,0.494,0.517,0.521,0.516,0.497,0.533,0.519,0.483,0.51,0.547,0.507,0.524,0.516,0.506,0.537,0.533,0.591,0.543,0.523
Edd,0.464,0.452,0.481,0.479,0.493,0.516,0.468,0.487,0.5,0.549,0.535,0.500,0.516,0.511,0.511,0.53,0.536,0.516,0.502,0.538,0.507,0.522,0.503,0.482,0.519,0.543,0.534,0.508,0.58,0.556,0.537
R.Mika,0.51,0.467,0.508,0.499,0.483,0.477,0.496,0.5,0.492,0.465,0.506,0.484,0.500,0.497,0.484,0.478,0.48,0.499,0.536,0.497,0.526,0.531,0.501,0.511,0.521,0.503,0.513,0.532,0.544,0.545,0.534
Ibuki,0.436,0.467,0.463,0.478,0.448,0.478,0.501,0.473,0.478,0.456,0.483,0.489,0.503,0.500,0.511,0.487,0.537,0.519,0.533,0.515,0.519,0.506,0.513,0.517,0.528,0.512,0.525,0.511,0.536,0.538,0.543
Karin,0.459,0.448,0.471,0.457,0.459,0.441,0.519,0.47,0.455,0.469,0.48,0.489,0.516,0.489,0.500,0.486,0.489,0.512,0.522,0.516,0.506,0.511,0.515,0.522,0.507,0.515,0.518,0.516,0.493,0.521,0.547
Zangief,0.491,0.432,0.457,0.336,0.474,0.495,0.479,0.548,0.439,0.411,0.484,0.47,0.522,0.513,0.514,0.500,0.536,0.496,0.454,0.552,0.508,0.527,0.507,0.512,0.518,0.517,0.538,0.555,0.427,0.443,0.524
Kolin,0.46,0.444,0.49,0.521,0.47,0.46,0.475,0.48,0.455,0.467,0.503,0.464,0.52,0.463,0.511,0.464,0.500,0.506,0.518,0.5,0.512,0.502,0.506,0.513,0.496,0.506,0.54,0.502,0.538,0.533,0.539
Necalli,0.441,0.449,0.48,0.514,0.471,0.499,0.495,0.452,0.457,0.49,0.467,0.484,0.501,0.481,0.488,0.504,0.494,0.500,0.512,0.504,0.502,0.489,0.512,0.51,0.517,0.518,0.522,0.515,0.509,0.521,0.529
Nash,0.428,0.468,0.448,0.458,0.462,0.46,0.478,0.455,0.481,0.488,0.481,0.498,0.464,0.467,0.478,0.546,0.482,0.488,0.500,0.466,0.501,0.505,0.525,0.522,0.52,0.49,0.504,0.513,0.552,0.556,0.537
Laura,0.503,0.446,0.503,0.518,0.514,0.491,0.492,0.511,0.496,0.475,0.517,0.462,0.503,0.485,0.484,0.448,0.5,0.496,0.534,0.500,0.517,0.499,0.472,0.486,0.496,0.517,0.484,0.488,0.534,0.517,0.487
Zeku,0.432,0.441,0.423,0.493,0.476,0.448,0.467,0.445,0.447,0.473,0.49,0.493,0.474,0.481,0.494,0.492,0.488,0.498,0.499,0.483,0.500,0.477,0.502,0.505,0.489,0.501,0.522,0.522,0.54,0.528,0.545
Juri,0.411,0.428,0.427,0.482,0.446,0.447,0.472,0.46,0.436,0.469,0.453,0.478,0.469,0.494,0.489,0.473,0.498,0.511,0.495,0.501,0.523,0.500,0.494,0.508,0.515,0.508,0.525,0.506,0.513,0.524,0.544
Ken,0.451,0.455,0.467,0.455,0.467,0.476,0.447,0.472,0.483,0.51,0.493,0.497,0.499,0.487,0.485,0.493,0.494,0.488,0.475,0.528,0.498,0.506,0.500,0.481,0.517,0.513,0.498,0.501,0.497,0.514,0.527
Ryu,0.417,0.449,0.462,0.418,0.454,0.45,0.456,0.45,0.463,0.484,0.476,0.518,0.489,0.483,0.478,0.488,0.488,0.49,0.478,0.514,0.495,0.492,0.519,0.500,0.489,0.511,0.502,0.504,0.488,0.52,0.541
ChunLi,0.452,0.45,0.496,0.405,0.446,0.429,0.476,0.459,0.482,0.467,0.484,0.481,0.479,0.472,0.493,0.482,0.504,0.483,0.48,0.504,0.511,0.485,0.483,0.511,0.500,0.489,0.499,0.492,0.477,0.501,0.52
Rashid,0.447,0.451,0.465,0.528,0.457,0.484,0.439,0.443,0.516,0.492,0.494,0.457,0.497,0.488,0.485,0.483,0.494,0.482,0.51,0.483,0.499,0.492,0.487,0.489,0.511,0.500,0.476,0.494,0.537,0.534,0.504
Cammy,0.414,0.433,0.454,0.462,0.445,0.478,0.469,0.463,0.451,0.433,0.463,0.466,0.487,0.475,0.482,0.462,0.46,0.478,0.496,0.516,0.478,0.475,0.502,0.498,0.501,0.524,0.500,0.513,0.468,0.48,0.526
Akuma,0.426,0.449,0.457,0.425,0.445,0.473,0.448,0.473,0.473,0.484,0.467,0.492,0.468,0.489,0.484,0.445,0.498,0.485,0.487,0.512,0.478,0.494,0.499,0.496,0.508,0.506,0.487,0.500,0.496,0.51,0.526
Menat,0.381,0.433,0.425,0.473,0.4,0.473,0.452,0.428,0.475,0.467,0.409,0.42,0.456,0.464,0.507,0.573,0.462,0.491,0.448,0.466,0.46,0.487,0.503,0.512,0.523,0.463,0.532,0.504,0.500,0.533,0.489
Falke,0.375,0.42,0.394,0.373,0.432,0.401,0.401,0.375,0.448,0.467,0.457,0.444,0.455,0.462,0.479,0.557,0.467,0.479,0.444,0.483,0.472,0.476,0.486,0.48,0.5,0.466,0.52,0.49,0.467,0.500,0.506
Sakura,0.41,0.412,0.435,0.414,0.437,0.42,0.426,0.43,0.468,0.492,0.477,0.463,0.466,0.457,0.453,0.476,0.461,0.471,0.464,0.513,0.455,0.456,0.473,0.459,0.48,0.496,0.474,0.474,0.511,0.494,0.500
