DICTATOR,0.500,0.513,0.47,0.553,0.549,0.554,0.507,0.549,0.495,0.545,0.528,0.494,0.546,0.506,0.557,0.553,0.553,0.575,0.533,0.487,0.558,0.549,0.596,0.55,0.603,0.544,0.585,0.581,0.574,0.627,0.588,0.708
Urien,0.487,0.500,0.508,0.494,0.472,0.517,0.558,0.527,0.544,0.547,0.541,0.528,0.546,0.573,0.534,0.536,0.545,0.522,0.555,0.556,0.553,0.549,0.574,0.551,0.532,0.555,0.544,0.554,0.54,0.572,0.582,0.683
CLAW,0.53,0.492,0.500,0.497,0.522,0.495,0.487,0.588,0.571,0.55,0.499,0.501,0.519,0.525,0.544,0.526,0.535,0.567,0.519,0.473,0.579,0.523,0.58,0.539,0.544,0.499,0.549,0.549,0.538,0.591,0.56,0.654
Guile,0.447,0.506,0.503,0.500,0.495,0.479,0.525,0.442,0.538,0.484,0.54,0.505,0.539,0.518,0.504,0.5,0.491,0.529,0.537,0.509,0.531,0.551,0.53,0.575,0.539,0.531,0.549,0.531,0.554,0.587,0.572,0.677
FANG,0.451,0.528,0.478,0.505,0.500,0.534,0.51,0.518,0.503,0.519,0.469,0.527,0.485,0.504,0.525,0.503,0.553,0.551,0.527,0.51,0.539,0.526,0.569,0.505,0.511,0.561,0.556,0.529,0.533,0.611,0.59,0.652
BOXER,0.446,0.483,0.505,0.521,0.466,0.500,0.483,0.564,0.46,0.483,0.521,0.487,0.51,0.45,0.525,0.561,0.543,0.547,0.541,0.504,0.543,0.529,0.537,0.56,0.563,0.532,0.55,0.534,0.531,0.61,0.567,0.647
Birdie,0.493,0.442,0.513,0.475,0.49,0.517,0.500,0.477,0.459,0.514,0.516,0.512,0.51,0.547,0.514,0.542,0.55,0.508,0.573,0.502,0.565,0.513,0.555,0.515,0.491,0.53,0.55,0.549,0.532,0.536,0.537,0.659
Dhalsim,0.451,0.473,0.412,0.558,0.482,0.436,0.523,0.500,0.488,0.454,0.454,0.498,0.516,0.665,0.504,0.48,0.522,0.526,0.473,0.487,0.504,0.531,0.511,0.456,0.518,0.578,0.572,0.52,0.561,0.598,0.571,0.613
Abigail,0.505,0.456,0.429,0.462,0.497,0.54,0.541,0.513,0.500,0.506,0.553,0.531,0.463,0.588,0.542,0.502,0.531,0.514,0.537,0.528,0.53,0.493,0.542,0.5,0.547,0.529,0.516,0.576,0.509,0.514,0.492,0.646
Alex,0.455,0.453,0.45,0.517,0.481,0.517,0.486,0.546,0.494,0.500,0.503,0.507,0.479,0.51,0.518,0.523,0.516,0.511,0.499,0.488,0.512,0.51,0.551,0.503,0.588,0.526,0.527,0.532,0.527,0.523,0.511,0.636
Blanka,0.472,0.459,0.501,0.46,0.531,0.479,0.484,0.546,0.447,0.497,0.500,0.505,0.485,0.503,0.531,0.525,0.524,0.513,0.51,0.47,0.51,0.505,0.514,0.521,0.544,0.53,0.533,0.533,0.533,0.534,0.531,0.652
