DICTATOR,0.500,0.509,0.475,0.534,0.555,0.55,0.543,0.492,0.502,0.505,0.535,0.534,0.565,0.501,0.557,0.548,0.549,0.572,0.535,0.508,0.489,0.575,0.545,0.546,0.596,0.569,0.549,0.63,0.597,0.577,0.635,0.596,0.629,0.688
Urien,0.491,0.500,0.505,0.53,0.504,0.516,0.471,0.552,0.538,0.556,0.547,0.532,0.53,0.56,0.538,0.549,0.557,0.535,0.572,0.547,0.548,0.55,0.558,0.55,0.565,0.549,0.553,0.588,0.593,0.56,0.563,0.583,0.646,0.63
CLAW,0.525,0.495,0.500,0.574,0.505,0.472,0.546,0.512,0.564,0.483,0.538,0.508,0.534,0.53,0.516,0.536,0.545,0.562,0.501,0.519,0.485,0.537,0.509,0.526,0.571,0.548,0.533,0.613,0.545,0.545,0.591,0.565,0.63,0.664
Dhalsim,0.466,0.47,0.426,0.500,0.556,0.45,0.472,0.449,0.482,0.545,0.473,0.523,0.513,0.656,0.492,0.543,0.47,0.547,0.472,0.518,0.49,0.569,0.578,0.538,0.527,0.567,0.465,0.608,0.584,0.53,0.535,0.582,0.589,0.662
Guile,0.445,0.496,0.495,0.444,0.500,0.476,0.493,0.515,0.538,0.521,0.475,0.53,0.493,0.513,0.493,0.479,0.522,0.523,0.528,0.52,0.509,0.542,0.524,0.551,0.522,0.549,0.58,0.581,0.559,0.537,0.557,0.555,0.616,0.666
BOXER,0.45,0.484,0.528,0.55,0.524,0.500,0.473,0.507,0.464,0.482,0.493,0.505,0.525,0.443,0.539,0.537,0.544,0.55,0.535,0.506,0.5,0.54,0.544,0.536,0.556,0.539,0.588,0.616,0.558,0.545,0.6,0.562,0.623,0.634
FANG,0.457,0.529,0.454,0.529,0.507,0.527,0.500,0.475,0.516,0.51,0.516,0.498,0.525,0.503,0.498,0.574,0.532,0.544,0.541,0.557,0.519,0.547,0.558,0.527,0.551,0.524,0.52,0.587,0.583,0.513,0.492,0.572,0.596,0.611
Blanka,0.508,0.448,0.488,0.551,0.485,0.493,0.525,0.500,0.452,0.475,0.483,0.509,0.539,0.514,0.533,0.529,0.535,0.541,0.512,0.518,0.481,0.532,0.54,0.528,0.546,0.558,0.538,0.56,0.54,0.549,0.594,0.555,0.598,0.614
Abigail,0.498,0.462,0.436,0.518,0.462,0.536,0.484,0.548,0.500,0.537,0.514,0.46,0.538,0.588,0.503,0.544,0.525,0.525,0.544,0.541,0.544,0.517,0.532,0.497,0.529,0.513,0.511,0.503,0.551,0.575,0.565,0.508,0.604,0.604
Birdie,0.495,0.444,0.517,0.455,0.479,0.518,0.49,0.525,0.463,0.500,0.495,0.497,0.535,0.553,0.534,0.551,0.547,0.527,0.549,0.513,0.504,0.545,0.532,0.512,0.547,0.536,0.503,0.524,0.568,0.537,0.523,0.525,0.591,0.588
Alex,0.465,0.453,0.462,0.527,0.525,0.507,0.484,0.517,0.486,0.505,0.500,0.481,0.506,0.517,0.498,0.521,0.498,0.523,0.482,0.516,0.495,0.523,0.518,0.516,0.553,0.526,0.507,0.544,0.533,0.541,0.6,0.52,0.599,0.626
