Urien,0.500,0.501,0.474,0.537,0.53,0.561,0.538,0.558,0.542,0.543,0.539,0.56,0.547,0.578,0.517,0.56,0.549,0.573,0.557,0.561,0.546,0.542,0.539,0.545,0.561,0.549,0.596,0.56,0.556,0.567,0.566,0.557,0.551,0.572,0.59,0.596,0.588,0.592
DICTATOR,0.499,0.500,0.516,0.531,0.495,0.503,0.506,0.493,0.54,0.505,0.523,0.534,0.583,0.534,0.559,0.561,0.531,0.494,0.525,0.55,0.483,0.515,0.539,0.555,0.539,0.565,0.572,0.541,0.564,0.574,0.536,0.621,0.569,0.584,0.609,0.595,0.585,0.583
Jam,0.526,0.484,0.500,0.525,0.469,0.519,0.522,0.488,0.539,0.513,0.56,0.481,0.537,0.528,0.534,0.576,0.544,0.521,0.529,0.568,0.534,0.534,0.534,0.513,0.545,0.583,0.54,0.541,0.538,0.503,0.544,0.575,0.545,0.556,0.554,0.542,0.58,0.543
Dhalsim,0.464,0.469,0.475,0.500,0.436,0.529,0.389,0.46,0.465,0.524,0.529,0.547,0.592,0.527,0.567,0.546,0.472,0.676,0.473,0.527,0.503,0.513,0.486,0.496,0.598,0.538,0.548,0.552,0.563,0.513,0.485,0.626,0.584,0.503,0.546,0.538,0.586,0.533
CLAW,0.47,0.505,0.531,0.564,0.500,0.474,0.531,0.484,0.502,0.552,0.518,0.521,0.516,0.503,0.502,0.497,0.543,0.52,0.493,0.54,0.47,0.503,0.56,0.518,0.518,0.546,0.521,0.517,0.541,0.531,0.533,0.58,0.536,0.573,0.588,0.56,0.533,0.557
Birdie,0.439,0.497,0.481,0.471,0.526,0.500,0.501,0.502,0.515,0.482,0.537,0.502,0.52,0.52,0.511,0.524,0.482,0.568,0.551,0.525,0.515,0.526,0.57,0.545,0.539,0.521,0.571,0.522,0.528,0.535,0.509,0.523,0.552,0.518,0.518,0.553,0.54,0.568
E.Honda,0.462,0.494,0.478,0.611,0.469,0.5,0.500,0.54,0.552,0.462,0.541,0.493,0.496,0.517,0.49,0.473,0.513,0.474,0.53,0.53,0.497,0.511,0.539,0.567,0.528,0.545,0.562,0.531,0.513,0.59,0.536,0.536,0.527,0.57,0.614,0.561,0.544,0.544
Blanka,0.442,0.507,0.512,0.541,0.516,0.498,0.46,0.500,0.489,0.458,0.511,0.501,0.524,0.507,0.485,0.518,0.493,0.511,0.508,0.545,0.497,0.509,0.535,0.528,0.513,0.526,0.578,0.526,0.557,0.541,0.532,0.551,0.546,0.543,0.576,0.548,0.522,0.544
BOXER,0.458,0.46,0.461,0.535,0.498,0.485,0.448,0.511,0.500,0.474,0.516,0.491,0.602,0.542,0.533,0.505,0.507,0.447,0.546,0.521,0.471,0.493,0.52,0.533,0.512,0.55,0.565,0.543,0.527,0.547,0.541,0.557,0.552,0.542,0.564,0.537,0.561,0.554
Abigail,0.457,0.495,0.487,0.476,0.448,0.518,0.538,0.542,0.526,0.500,0.504,0.433,0.472,0.532,0.498,0.488,0.497,0.578,0.53,0.538,0.502,0.539,0.518,0.513,0.532,0.519,0.584,0.495,0.505,0.551,0.498,0.576,0.52,0.523,0.578,0.538,0.484,0.547
Karin,0.461,0.477,0.44,0.472,0.482,0.463,0.459,0.489,0.484,0.496,0.500,0.493,0.499,0.496,0.534,0.507,0.505,0.496,0.513,0.499,0.507,0.534,0.502,0.536,0.507,0.527,0.528,0.533,0.536,0.533,0.539,0.526,0.535,0.529,0.519,0.532,0.535,0.559
Edd,0.44,0.466,0.519,0.453,0.479,0.498,0.507,0.499,0.509,0.567,0.507,0.500,0.505,0.52,0.475,0.5,0.534,0.528,0.56,0.517,0.534,0.515,0.507,0.544,0.526,0.525,0.554,0.505,0.522,0.548,0.546,0.487,0.492,0.544,0.592,0.542,0.552,0.551
Falke,0.453,0.417,0.463,0.408,0.484,0.48,0.504,0.476,0.398,0.528,0.501,0.495,0.500,0.472,0.5,0.51,0.503,0.603,0.489,0.498,0.535,0.529,0.505,0.5,0.547,0.501,0.508,0.525,0.531,0.527,0.505,0.561,0.534,0.538,0.519,0.535,0.55,0.551
G,0.422,0.466,0.472,0.473,0.497,0.48,0.483,0.493,0.458,0.468,0.504,0.48,0.528,0.500,0.507,0.479,0.493,0.541,0.494,0.516,0.491,0.47,0.543,0.529,0.5,0.523,0.549,0.518,0.533,0.555,0.509,0.507,0.537,0.54,0.531,0.542,0.531,0.543
Guile,0.483,0.441,0.466,0.433,0.498,0.489,0.51,0.515,0.467,0.502,0.466,0.525,0.5,0.493,0.500,0.5,0.467,0.496,0.512,0.475,0.506,0.499,0.501,0.491,0.489,0.51,0.525,0.546,0.527,0.521,0.545,0.577,0.541,0.538,0.495,0.501,0.552,0.524
Cody,0.44,0.439,0.424,0.454,0.503,0.476,0.527,0.482,0.495,0.512,0.493,0.5,0.49,0.521,0.5,0.500,0.52,0.515,0.489,0.517,0.482,0.499,0.501,0.531,0.521,0.526,0.499,0.538,0.508,0.554,0.544,0.495,0.508,0.537,0.534,0.536,0.538,0.54
Alex,0.451,0.469,0.456,0.528,0.457,0.518,0.487,0.507,0.493,0.503,0.495,0.466,0.497,0.507,0.533,0.48,0.500,0.509,0.501,0.502,0.478,0.497,0.505,0.513,0.504,0.514,0.573,0.488,0.516,0.533,0.49,0.559,0.515,0.512,0.581,0.54,0.51,0.541
Zangief,0.428,0.506,0.479,0.324,0.48,0.432,0.526,0.489,0.553,0.422,0.504,0.472,0.397,0.459,0.504,0.485,0.491,0.500,0.521,0.527,0.544,0.523,0.507,0.504,0.528,0.474,0.449,0.504,0.541,0.534,0.53,0.453,0.514,0.515,0.44,0.529,0.51,0.569
Kolin,0.443,0.476,0.471,0.527,0.507,0.449,0.47,0.492,0.454,0.47,0.487,0.44,0.511,0.506,0.488,0.511,0.499,0.479,0.500,0.48,0.481,0.522,0.517,0.52,0.5,0.519,0.503,0.501,0.505,0.536,0.52,0.525,0.512,0.529,0.546,0.531,0.525,0.547
Ibuki,0.439,0.45,0.432,0.473,0.46,0.476,0.47,0.455,0.479,0.462,0.501,0.483,0.502,0.484,0.525,0.483,0.498,0.473,0.52,0.500,0.509,0.476,0.496,0.509,0.493,0.512,0.503,0.519,0.511,0.511,0.5,0.532,0.522,0.509,0.528,0.499,0.542,0.532
Laura,0.454,0.517,0.466,0.497,0.53,0.485,0.503,0.503,0.529,0.498,0.493,0.466,0.465,0.509,0.494,0.518,0.522,0.456,0.519,0.492,0.500,0.512,0.532,0.514,0.513,0.55,0.504,0.477,0.486,0.486,0.514,0.499,0.493,0.508,0.562,0.525,0.501,0.507
R.Mika,0.458,0.485,0.466,0.487,0.497,0.474,0.489,0.491,0.507,0.461,0.466,0.485,0.472,0.53,0.501,0.501,0.503,0.477,0.478,0.524,0.488,0.500,0.517,0.51,0.522,0.525,0.502,0.489,0.521,0.491,0.513,0.492,0.496,0.499,0.547,0.525,0.525,0.513
Zeku,0.461,0.461,0.466,0.514,0.44,0.43,0.461,0.465,0.48,0.482,0.498,0.493,0.495,0.457,0.499,0.499,0.495,0.493,0.483,0.504,0.468,0.483,0.500,0.494,0.488,0.517,0.505,0.511,0.523,0.521,0.514,0.519,0.517,0.508,0.518,0.493,0.532,0.546
Necalli,0.455,0.445,0.487,0.504,0.482,0.455,0.433,0.472,0.467,0.487,0.464,0.456,0.5,0.471,0.509,0.469,0.487,0.496,0.48,0.491,0.486,0.49,0.506,0.500,0.512,0.517,0.507,0.502,0.505,0.519,0.514,0.513,0.513,0.494,0.533,0.505,0.534,0.521
ChunLi,0.44,0.461,0.455,0.403,0.482,0.461,0.472,0.487,0.488,0.468,0.493,0.474,0.453,0.5,0.511,0.479,0.496,0.472,0.5,0.507,0.487,0.478,0.512,0.488,0.500,0.519,0.492,0.5,0.497,0.486,0.491,0.511,0.518,0.526,0.482,0.5,0.517,0.513
Nash,0.452,0.435,0.417,0.462,0.454,0.479,0.455,0.474,0.45,0.481,0.473,0.475,0.499,0.477,0.49,0.474,0.486,0.526,0.481,0.488,0.45,0.475,0.483,0.483,0.481,0.500,0.495,0.516,0.504,0.493,0.492,0.518,0.527,0.501,0.544,0.499,0.514,0.519
Poison,0.404,0.428,0.46,0.452,0.479,0.429,0.438,0.422,0.435,0.416,0.472,0.446,0.492,0.451,0.475,0.501,0.428,0.551,0.497,0.497,0.496,0.498,0.495,0.493,0.508,0.505,0.500,0.511,0.511,0.501,0.45,0.502,0.551,0.503,0.513,0.515,0.528,0.523
Ken,0.44,0.46,0.46,0.448,0.483,0.478,0.469,0.474,0.457,0.505,0.467,0.495,0.475,0.482,0.454,0.462,0.512,0.496,0.499,0.481,0.523,0.511,0.489,0.498,0.501,0.484,0.489,0.500,0.491,0.497,0.514,0.479,0.483,0.496,0.495,0.512,0.515,0.512
Akuma,0.444,0.436,0.462,0.437,0.459,0.472,0.487,0.444,0.473,0.495,0.464,0.478,0.469,0.467,0.473,0.492,0.484,0.459,0.495,0.489,0.514,0.479,0.477,0.495,0.503,0.496,0.489,0.509,0.500,0.485,0.506,0.502,0.507,0.499,0.492,0.507,0.529,0.507
Cammy,0.433,0.426,0.497,0.487,0.469,0.465,0.41,0.459,0.453,0.449,0.467,0.452,0.473,0.445,0.479,0.446,0.467,0.466,0.464,0.489,0.514,0.509,0.48,0.481,0.514,0.507,0.499,0.503,0.515,0.500,0.527,0.461,0.506,0.523,0.49,0.499,0.527,0.501
