E.Honda,0.500,0.509,0.512,0.594,0.537,0.616,0.512,0.613,0.529,0.521,0.536,0.538,0.535,0.581,0.603,0.529,0.518,0.577,0.607,0.548,0.575,0.601,0.582,0.548,0.577,0.547,0.55,0.552,0.6,0.609,0.571,0.614,0.558,0.57,0.626,0.6,0.616,0.591,0.651
CLAW,0.491,0.500,0.51,0.509,0.55,0.583,0.546,0.513,0.519,0.531,0.513,0.513,0.573,0.564,0.537,0.606,0.549,0.579,0.555,0.593,0.561,0.541,0.562,0.513,0.531,0.534,0.556,0.563,0.527,0.58,0.551,0.605,0.565,0.57,0.569,0.599,0.581,0.591,0.645
Urien,0.488,0.49,0.500,0.527,0.503,0.537,0.481,0.53,0.537,0.566,0.516,0.539,0.554,0.54,0.527,0.549,0.551,0.534,0.583,0.549,0.549,0.557,0.588,0.546,0.559,0.551,0.549,0.575,0.575,0.571,0.556,0.57,0.559,0.584,0.568,0.587,0.562,0.58,0.606
Blanka,0.406,0.492,0.473,0.500,0.53,0.574,0.525,0.536,0.522,0.512,0.508,0.525,0.521,0.558,0.548,0.501,0.549,0.549,0.602,0.553,0.526,0.568,0.554,0.513,0.559,0.538,0.554,0.563,0.557,0.576,0.559,0.58,0.594,0.578,0.584,0.577,0.562,0.591,0.62
DICTATOR,0.463,0.45,0.497,0.47,0.500,0.519,0.545,0.538,0.519,0.513,0.545,0.529,0.531,0.59,0.535,0.529,0.503,0.57,0.566,0.586,0.541,0.541,0.549,0.491,0.529,0.532,0.552,0.554,0.529,0.575,0.522,0.573,0.57,0.582,0.568,0.595,0.544,0.586,0.652
Dhalsim,0.384,0.417,0.463,0.426,0.481,0.500,0.473,0.457,0.532,0.539,0.581,0.564,0.484,0.576,0.48,0.5,0.675,0.547,0.556,0.617,0.48,0.534,0.523,0.499,0.585,0.553,0.575,0.529,0.499,0.524,0.509,0.541,0.591,0.587,0.522,0.585,0.483,0.553,0.586
Jam,0.488,0.454,0.519,0.475,0.455,0.527,0.500,0.527,0.486,0.52,0.54,0.519,0.525,0.564,0.496,0.517,0.514,0.525,0.549,0.566,0.507,0.567,0.538,0.515,0.545,0.53,0.551,0.563,0.536,0.523,0.544,0.568,0.557,0.565,0.523,0.609,0.522,0.534,0.604
BOXER,0.387,0.487,0.47,0.464,0.462,0.543,0.473,0.500,0.491,0.465,0.521,0.514,0.493,0.576,0.523,0.503,0.475,0.559,0.554,0.556,0.545,0.536,0.552,0.501,0.524,0.539,0.55,0.569,0.557,0.554,0.514,0.543,0.551,0.571,0.574,0.585,0.572,0.567,0.609
Edd,0.471,0.481,0.463,0.478,0.481,0.468,0.514,0.509,0.500,0.51,0.495,0.5,0.536,0.525,0.516,0.563,0.537,0.514,0.538,0.494,0.511,0.529,0.514,0.549,0.527,0.517,0.5,0.548,0.572,0.546,0.562,0.563,0.542,0.553,0.577,0.552,0.583,0.559,0.587
Birdie,0.479,0.469,0.434,0.488,0.487,0.461,0.48,0.535,0.49,0.500,0.514,0.517,0.499,0.51,0.527,0.476,0.563,0.501,0.545,0.52,0.539,0.54,0.543,0.515,0.529,0.503,0.537,0.523,0.571,0.554,0.533,0.545,0.537,0.54,0.553,0.556,0.529,0.581,0.559
Guile,0.464,0.487,0.484,0.492,0.455,0.419,0.46,0.48,0.505,0.486,0.500,0.51,0.469,0.509,0.459,0.526,0.483,0.51,0.51,0.566,0.501,0.495,0.531,0.511,0.505,0.542,0.549,0.5,0.532,0.521,0.526,0.538,0.55,0.562,0.543,0.571,0.562,0.554,0.554
Cody,0.462,0.487,0.461,0.475,0.471,0.436,0.481,0.486,0.5,0.484,0.49,0.500,0.509,0.511,0.526,0.511,0.525,0.504,0.509,0.503,0.524,0.516,0.532,0.499,0.519,0.532,0.508,0.542,0.517,0.544,0.571,0.551,0.536,0.536,0.568,0.562,0.554,0.557,0.563
Alex,0.465,0.427,0.446,0.479,0.469,0.516,0.475,0.507,0.464,0.501,0.531,0.491,0.500,0.49,0.523,0.498,0.509,0.509,0.56,0.551,0.504,0.524,0.544,0.492,0.528,0.504,0.529,0.528,0.511,0.55,0.533,0.537,0.541,0.508,0.555,0.559,0.512,0.554,0.619
Falke,0.419,0.436,0.46,0.442,0.41,0.424,0.436,0.424,0.475,0.49,0.491,0.489,0.51,0.500,0.511,0.531,0.588,0.49,0.486,0.543,0.515,0.536,0.495,0.547,0.531,0.53,0.54,0.527,0.507,0.491,0.553,0.547,0.544,0.525,0.547,0.556,0.529,0.563,0.574
Necalli,0.397,0.464,0.473,0.452,0.465,0.52,0.504,0.477,0.484,0.473,0.541,0.474,0.477,0.489,0.500,0.525,0.508,0.515,0.489,0.526,0.513,0.501,0.5,0.503,0.547,0.514,0.527,0.515,0.514,0.496,0.511,0.512,0.533,0.527,0.529,0.554,0.544,0.53,0.552
Abigail,0.471,0.394,0.452,0.499,0.471,0.5,0.483,0.497,0.437,0.524,0.474,0.489,0.502,0.469,0.475,0.500,0.574,0.488,0.559,0.525,0.509,0.52,0.541,0.516,0.502,0.478,0.501,0.536,0.542,0.534,0.548,0.515,0.526,0.477,0.578,0.542,0.509,0.542,0.58
Zangief,0.482,0.451,0.449,0.451,0.497,0.325,0.486,0.525,0.464,0.437,0.517,0.475,0.491,0.412,0.492,0.426,0.500,0.446,0.432,0.441,0.491,0.524,0.471,0.568,0.533,0.506,0.518,0.535,0.541,0.542,0.566,0.529,0.562,0.518,0.55,0.514,0.528,0.564,0.475
Nash,0.423,0.421,0.466,0.451,0.43,0.453,0.475,0.441,0.486,0.499,0.49,0.496,0.491,0.51,0.485,0.512,0.554,0.500,0.505,0.528,0.503,0.491,0.521,0.477,0.521,0.519,0.535,0.486,0.505,0.525,0.509,0.528,0.521,0.539,0.511,0.543,0.526,0.537,0.585
Poison,0.393,0.445,0.417,0.399,0.434,0.444,0.451,0.446,0.462,0.455,0.49,0.491,0.44,0.514,0.511,0.441,0.568,0.495,0.500,0.51,0.52,0.51,0.474,0.501,0.529,0.525,0.556,0.531,0.542,0.508,0.501,0.518,0.539,0.549,0.511,0.53,0.483,0.531,0.543
Sagat,0.452,0.407,0.451,0.447,0.414,0.383,0.434,0.444,0.506,0.48,0.434,0.497,0.449,0.457,0.474,0.475,0.559,0.472,0.49,0.500,0.492,0.485,0.522,0.517,0.522,0.534,0.52,0.504,0.521,0.537,0.53,0.543,0.521,0.543,0.543,0.554,0.533,0.539,0.519
Zeku,0.425,0.439,0.451,0.474,0.459,0.521,0.493,0.456,0.489,0.461,0.499,0.476,0.496,0.485,0.488,0.491,0.509,0.497,0.48,0.508,0.500,0.495,0.496,0.493,0.487,0.511,0.517,0.506,0.494,0.503,0.529,0.514,0.539,0.536,0.547,0.51,0.537,0.543,0.552
