E.Honda,0.500,0.507,0.479,0.497,0.522,0.604,0.584,0.599,0.482,0.525,0.561,0.503,0.526,0.525,0.56,0.517,0.503,0.572,0.591,0.591,0.592,0.544,0.566,0.558,0.547,0.593,0.588,0.629,0.566,0.597,0.54,0.557,0.564,0.559,0.558,0.632,0.671,0.571,0.563,0.608
Urien,0.493,0.500,0.473,0.467,0.495,0.551,0.533,0.514,0.541,0.553,0.509,0.551,0.535,0.514,0.539,0.534,0.556,0.573,0.568,0.536,0.533,0.528,0.538,0.555,0.55,0.56,0.567,0.58,0.552,0.562,0.547,0.562,0.554,0.563,0.567,0.564,0.561,0.576,0.566,0.569
CLAW,0.521,0.527,0.500,0.517,0.54,0.579,0.512,0.496,0.581,0.526,0.54,0.52,0.509,0.488,0.548,0.49,0.54,0.526,0.538,0.52,0.533,0.564,0.581,0.519,0.516,0.554,0.56,0.577,0.57,0.571,0.542,0.529,0.578,0.53,0.561,0.548,0.632,0.54,0.542,0.563
Jam,0.503,0.533,0.483,0.500,0.465,0.516,0.508,0.509,0.505,0.515,0.542,0.478,0.553,0.534,0.513,0.502,0.54,0.559,0.556,0.491,0.59,0.567,0.538,0.512,0.569,0.581,0.549,0.573,0.602,0.547,0.561,0.535,0.528,0.557,0.533,0.532,0.558,0.556,0.575,0.527
DICTATOR,0.478,0.505,0.46,0.535,0.500,0.528,0.488,0.53,0.505,0.504,0.569,0.541,0.521,0.535,0.52,0.485,0.493,0.533,0.563,0.537,0.541,0.586,0.561,0.533,0.518,0.569,0.546,0.573,0.567,0.565,0.549,0.528,0.552,0.512,0.567,0.568,0.609,0.566,0.559,0.541
Dhalsim,0.396,0.449,0.421,0.484,0.472,0.500,0.456,0.459,0.473,0.52,0.583,0.554,0.564,0.564,0.458,0.497,0.661,0.519,0.557,0.505,0.541,0.632,0.553,0.469,0.584,0.555,0.518,0.558,0.576,0.526,0.582,0.548,0.493,0.529,0.539,0.534,0.589,0.595,0.592,0.493
Blanka,0.416,0.467,0.488,0.492,0.512,0.544,0.500,0.53,0.465,0.533,0.549,0.507,0.495,0.5,0.511,0.494,0.554,0.52,0.575,0.542,0.538,0.559,0.532,0.549,0.545,0.54,0.564,0.548,0.548,0.57,0.548,0.532,0.536,0.532,0.563,0.567,0.607,0.559,0.58,0.548
BOXER,0.401,0.486,0.504,0.491,0.47,0.541,0.47,0.500,0.471,0.488,0.554,0.52,0.518,0.536,0.478,0.487,0.466,0.538,0.554,0.53,0.538,0.549,0.557,0.54,0.516,0.553,0.564,0.553,0.571,0.557,0.549,0.549,0.57,0.529,0.542,0.56,0.605,0.564,0.547,0.572
Abigail,0.518,0.459,0.419,0.495,0.495,0.527,0.535,0.529,0.500,0.544,0.499,0.464,0.493,0.488,0.517,0.509,0.592,0.547,0.589,0.489,0.531,0.529,0.528,0.531,0.522,0.517,0.54,0.576,0.563,0.539,0.518,0.504,0.551,0.565,0.53,0.586,0.591,0.501,0.528,0.54
Birdie,0.475,0.447,0.474,0.485,0.496,0.48,0.467,0.512,0.456,0.500,0.482,0.488,0.503,0.51,0.491,0.502,0.567,0.527,0.552,0.521,0.539,0.525,0.522,0.552,0.525,0.527,0.556,0.594,0.519,0.559,0.541,0.512,0.559,0.539,0.541,0.548,0.579,0.55,0.551,0.532
