E.Honda,0.500,0.505,0.574,0.598,0.531,0.528,0.541,0.518,0.623,0.532,0.533,0.528,0.524,0.524,0.506,0.508,0.524,0.539,0.524,0.574,0.587,0.605,0.57,0.579,0.541,0.586,0.581,0.576,0.581,0.558,0.562,0.606,0.551,0.572,0.569,0.573,0.637,0.629,0.647,0.602,0.626
Urien,0.495,0.500,0.55,0.508,0.51,0.495,0.516,0.531,0.549,0.543,0.498,0.47,0.54,0.536,0.51,0.548,0.529,0.53,0.556,0.53,0.54,0.577,0.55,0.545,0.537,0.549,0.573,0.575,0.55,0.543,0.551,0.555,0.55,0.553,0.568,0.582,0.574,0.573,0.615,0.561,0.608
Blanka,0.426,0.45,0.500,0.501,0.501,0.525,0.525,0.516,0.565,0.53,0.52,0.524,0.512,0.535,0.492,0.504,0.561,0.493,0.562,0.517,0.544,0.601,0.548,0.56,0.553,0.538,0.569,0.538,0.562,0.536,0.545,0.561,0.572,0.563,0.565,0.575,0.567,0.619,0.579,0.568,0.58
BOXER,0.402,0.492,0.5,0.500,0.487,0.467,0.564,0.507,0.548,0.485,0.527,0.483,0.542,0.518,0.524,0.488,0.563,0.496,0.471,0.553,0.541,0.573,0.574,0.544,0.55,0.568,0.567,0.585,0.574,0.542,0.563,0.57,0.551,0.552,0.559,0.579,0.582,0.616,0.596,0.58,0.572
Alex,0.469,0.49,0.499,0.513,0.500,0.49,0.482,0.479,0.546,0.509,0.477,0.498,0.517,0.514,0.542,0.526,0.549,0.511,0.536,0.527,0.545,0.577,0.535,0.536,0.539,0.553,0.537,0.56,0.55,0.526,0.547,0.575,0.549,0.539,0.561,0.543,0.57,0.609,0.592,0.539,0.566
DICTATOR,0.472,0.505,0.475,0.533,0.51,0.500,0.546,0.517,0.53,0.518,0.454,0.528,0.546,0.534,0.526,0.502,0.582,0.487,0.48,0.531,0.529,0.553,0.553,0.53,0.539,0.536,0.518,0.544,0.533,0.519,0.549,0.569,0.549,0.522,0.538,0.56,0.555,0.62,0.601,0.547,0.575
Falke,0.46,0.484,0.475,0.437,0.518,0.454,0.500,0.505,0.434,0.515,0.486,0.497,0.502,0.505,0.512,0.522,0.562,0.539,0.612,0.485,0.523,0.511,0.519,0.513,0.542,0.556,0.525,0.536,0.546,0.521,0.548,0.525,0.549,0.559,0.559,0.556,0.572,0.558,0.566,0.544,0.608
Edd,0.482,0.469,0.484,0.493,0.521,0.483,0.495,0.500,0.498,0.505,0.519,0.511,0.509,0.491,0.498,0.569,0.497,0.545,0.542,0.518,0.535,0.524,0.509,0.538,0.502,0.536,0.566,0.524,0.552,0.514,0.541,0.551,0.538,0.571,0.563,0.564,0.586,0.568,0.576,0.595,0.583
Dhalsim,0.377,0.451,0.435,0.452,0.454,0.47,0.566,0.502,0.500,0.512,0.418,0.513,0.535,0.553,0.531,0.469,0.579,0.49,0.661,0.521,0.49,0.571,0.454,0.533,0.553,0.533,0.501,0.56,0.505,0.529,0.529,0.508,0.567,0.523,0.594,0.57,0.53,0.569,0.564,0.465,0.577
Birdie,0.468,0.457,0.47,0.515,0.491,0.482,0.485,0.495,0.488,0.500,0.465,0.49,0.517,0.524,0.509,0.472,0.513,0.503,0.568,0.514,0.531,0.543,0.535,0.509,0.533,0.557,0.567,0.538,0.53,0.506,0.543,0.557,0.538,0.538,0.549,0.537,0.552,0.524,0.605,0.519,0.584
CLAW,0.467,0.502,0.48,0.473,0.523,0.546,0.514,0.481,0.582,0.535,0.500,0.537,0.509,0.488,0.488,0.573,0.546,0.474,0.518,0.545,0.498,0.55,0.546,0.541,0.513,0.516,0.503,0.539,0.545,0.51,0.536,0.555,0.518,0.541,0.527,0.531,0.546,0.587,0.585,0.552,0.573
FANG,0.472,0.53,0.476,0.517,0.502,0.472,0.503,0.489,0.487,0.51,0.463,0.500,0.54,0.539,0.528,0.514,0.533,0.487,0.496,0.516,0.495,0.55,0.529,0.553,0.53,0.557,0.542,0.532,0.538,0.51,0.545,0.527,0.533,0.536,0.562,0.536,0.52,0.533,0.576,0.533,0.581
Gill,0.476,0.46,0.488,0.458,0.483,0.454,0.498,0.491,0.465,0.483,0.491,0.46,0.500,0.482,0.487,0.493,0.49,0.488,0.539,0.522,0.517,0.502,0.541,0.53,0.539,0.531,0.515,0.55,0.528,0.55,0.544,0.53,0.541,0.563,0.525,0.544,0.568,0.5,0.58,0.547,0.607
Cody,0.476,0.464,0.465,0.482,0.486,0.466,0.496,0.509,0.447,0.476,0.513,0.461,0.518,0.500,0.482,0.512,0.497,0.499,0.513,0.515,0.554,0.513,0.518,0.531,0.512,0.518,0.507,0.532,0.538,0.532,0.533,0.556,0.52,0.547,0.534,0.551,0.572,0.539,0.568,0.581,0.579
Guile,0.494,0.49,0.508,0.476,0.458,0.474,0.488,0.502,0.469,0.491,0.512,0.472,0.513,0.518,0.500,0.534,0.552,0.478,0.492,0.529,0.482,0.483,0.501,0.513,0.531,0.484,0.514,0.544,0.491,0.552,0.517,0.516,0.543,0.527,0.531,0.551,0.547,0.535,0.537,0.564,0.556
Abigail,0.492,0.452,0.496,0.512,0.474,0.498,0.478,0.431,0.531,0.528,0.427,0.486,0.507,0.488,0.466,0.500,0.513,0.507,0.579,0.503,0.505,0.55,0.515,0.496,0.503,0.524,0.535,0.557,0.548,0.484,0.515,0.529,0.522,0.544,0.54,0.494,0.571,0.585,0.589,0.514,0.566
Sagat,0.476,0.471,0.439,0.437,0.451,0.418,0.438,0.503,0.421,0.487,0.454,0.467,0.51,0.503,0.448,0.487,0.500,0.52,0.566,0.49,0.511,0.461,0.509,0.508,0.524,0.496,0.515,0.561,0.51,0.543,0.521,0.53,0.522,0.538,0.524,0.544,0.546,0.52,0.566,0.529,0.577
Laura,0.461,0.47,0.507,0.504,0.489,0.513,0.461,0.455,0.51,0.497,0.526,0.513,0.512,0.501,0.522,0.493,0.48,0.500,0.45,0.538,0.509,0.506,0.498,0.489,0.495,0.513,0.524,0.52,0.531,0.493,0.505,0.522,0.514,0.544,0.539,0.512,0.534,0.565,0.528,0.553,0.552
Zangief,0.476,0.444,0.438,0.529,0.464,0.52,0.388,0.458,0.339,0.433,0.482,0.504,0.461,0.487,0.508,0.421,0.434,0.55,0.500,0.45,0.495,0.428,0.489,0.501,0.512,0.523,0.537,0.475,0.532,0.511,0.548,0.533,0.556,0.563,0.551,0.514,0.559,0.461,0.559,0.535,0.573
Nash,0.426,0.47,0.483,0.447,0.473,0.469,0.515,0.482,0.479,0.486,0.455,0.484,0.478,0.485,0.471,0.497,0.51,0.462,0.55,0.500,0.483,0.537,0.497,0.492,0.513,0.499,0.514,0.519,0.493,0.513,0.511,0.513,0.519,0.519,0.529,0.536,0.512,0.592,0.535,0.516,0.556
Necalli,0.413,0.46,0.456,0.459,0.455,0.471,0.477,0.465,0.51,0.469,0.502,0.505,0.484,0.446,0.518,0.495,0.489,0.491,0.505,0.517,0.500,0.504,0.518,0.489,0.503,0.517,0.487,0.5,0.532,0.508,0.503,0.514,0.52,0.528,0.534,0.537,0.522,0.566,0.534,0.544,0.533
Poison,0.395,0.424,0.399,0.427,0.423,0.447,0.489,0.476,0.429,0.457,0.45,0.45,0.498,0.487,0.517,0.45,0.539,0.494,0.572,0.463,0.496,0.500,0.489,0.474,0.55,0.491,0.531,0.489,0.495,0.517,0.503,0.515,0.533,0.495,0.525,0.527,0.525,0.541,0.54,0.461,0.549
Zeku,0.43,0.45,0.452,0.426,0.465,0.447,0.481,0.491,0.546,0.465,0.454,0.471,0.459,0.482,0.5,0.485,0.491,0.502,0.511,0.503,0.482,0.511,0.500,0.482,0.509,0.507,0.497,0.488,0.5,0.517,0.517,0.497,0.542,0.529,0.5,0.532,0.558,0.568,0.541,0.533,0.558
Lucia,0.421,0.455,0.44,0.456,0.464,0.47,0.488,0.462,0.467,0.491,0.459,0.448,0.47,0.469,0.487,0.504,0.492,0.511,0.499,0.508,0.511,0.526,0.518,0.500,0.5,0.511,0.504,0.516,0.529,0.512,0.503,0.52,0.523,0.516,0.515,0.53,0.516,0.545,0.523,0.551,0.567
Ryu,0.459,0.463,0.447,0.45,0.461,0.461,0.458,0.498,0.448,0.467,0.487,0.47,0.461,0.488,0.469,0.497,0.476,0.505,0.488,0.487,0.497,0.45,0.491,0.5,0.500,0.492,0.503,0.499,0.501,0.521,0.511,0.503,0.509,0.534,0.517,0.527,0.516,0.491,0.521,0.542,0.563
Karin,0.414,0.452,0.462,0.432,0.447,0.464,0.444,0.464,0.467,0.443,0.484,0.443,0.469,0.482,0.516,0.476,0.504,0.487,0.477,0.501,0.483,0.509,0.493,0.489,0.509,0.500,0.484,0.48,0.497,0.52,0.522,0.519,0.521,0.524,0.498,0.532,0.508,0.511,0.512,0.528,0.536
Kolin,0.419,0.427,0.431,0.433,0.463,0.482,0.475,0.434,0.5,0.433,0.497,0.458,0.485,0.493,0.486,0.465,0.485,0.476,0.464,0.486,0.513,0.469,0.503,0.496,0.497,0.516,0.500,0.469,0.484,0.508,0.505,0.501,0.504,0.525,0.503,0.514,0.536,0.532,0.539,0.533,0.531
G,0.425,0.425,0.462,0.415,0.44,0.456,0.464,0.476,0.44,0.462,0.461,0.468,0.45,0.468,0.456,0.444,0.439,0.48,0.525,0.481,0.5,0.511,0.512,0.484,0.501,0.52,0.531,0.500,0.52,0.497,0.511,0.527,0.512,0.503,0.513,0.51,0.539,0.55,0.537,0.526,0.531
Ibuki,0.419,0.45,0.438,0.426,0.45,0.468,0.454,0.448,0.495,0.47,0.455,0.462,0.472,0.462,0.509,0.452,0.49,0.469,0.468,0.507,0.468,0.505,0.5,0.471,0.499,0.503,0.516,0.48,0.500,0.508,0.49,0.503,0.518,0.501,0.507,0.525,0.512,0.526,0.513,0.527,0.529
Ken,0.442,0.457,0.464,0.458,0.474,0.481,0.479,0.486,0.471,0.494,0.49,0.49,0.45,0.468,0.448,0.516,0.457,0.507,0.489,0.487,0.492,0.483,0.483,0.488,0.479,0.48,0.492,0.503,0.492,0.500,0.492,0.508,0.506,0.535,0.525,0.509,0.512,0.498,0.497,0.552,0.53
Kage,0.438,0.449,0.455,0.437,0.453,0.451,0.452,0.46,0.471,0.457,0.464,0.455,0.456,0.467,0.483,0.485,0.479,0.495,0.452,0.489,0.497,0.497,0.483,0.497,0.489,0.478,0.495,0.489,0.51,0.509,0.500,0.493,0.511,0.517,0.515,0.525,0.516,0.533,0.497,0.546,0.529
Juri,0.394,0.445,0.439,0.43,0.425,0.431,0.476,0.449,0.492,0.443,0.445,0.473,0.47,0.444,0.484,0.471,0.47,0.478,0.468,0.487,0.486,0.485,0.503,0.48,0.497,0.481,0.499,0.473,0.497,0.492,0.507,0.500,0.509,0.5,0.517,0.524,0.528,0.528,0.503,0.532,0.536
Akuma,0.449,0.45,0.428,0.449,0.451,0.451,0.451,0.462,0.433,0.462,0.482,0.467,0.459,0.48,0.457,0.478,0.478,0.486,0.444,0.481,0.48,0.467,0.458,0.477,0.491,0.479,0.496,0.488,0.482,0.494,0.489,0.491,0.500,0.479,0.517,0.517,0.49,0.509,0.498,0.514,0.529
R.Mika,0.428,0.447,0.437,0.448,0.461,0.478,0.441,0.429,0.477,0.462,0.459,0.464,0.437,0.453,0.473,0.456,0.462,0.456,0.437,0.481,0.472,0.505,0.471,0.484,0.466,0.476,0.475,0.497,0.499,0.465,0.484,0.5,0.521,0.500,0.52,0.526,0.505,0.551,0.519,0.507,0.499
ChunLi,0.431,0.432,0.435,0.441,0.439,0.462,0.441,0.437,0.406,0.451,0.473,0.438,0.475,0.466,0.469,0.46,0.476,0.461,0.449,0.471,0.466,0.475,0.501,0.485,0.483,0.502,0.497,0.487,0.493,0.475,0.485,0.483,0.483,0.48,0.500,0.502,0.507,0.472,0.509,0.508,0.53
Sakura,0.427,0.418,0.425,0.421,0.457,0.44,0.444,0.436,0.43,0.464,0.469,0.464,0.456,0.449,0.449,0.506,0.456,0.488,0.486,0.464,0.463,0.473,0.468,0.47,0.473,0.468,0.486,0.49,0.475,0.491,0.475,0.476,0.483,0.474,0.498,0.500,0.498,0.509,0.5,0.507,0.514
Cammy,0.363,0.426,0.433,0.418,0.43,0.445,0.428,0.414,0.47,0.448,0.454,0.48,0.433,0.428,0.453,0.429,0.454,0.466,0.441,0.488,0.478,0.475,0.442,0.484,0.484,0.492,0.464,0.461,0.488,0.488,0.484,0.472,0.51,0.495,0.493,0.502,0.500,0.485,0.469,0.529,0.505
Menat,0.371,0.427,0.381,0.384,0.392,0.38,0.442,0.432,0.431,0.476,0.413,0.467,0.501,0.461,0.465,0.415,0.48,0.435,0.539,0.409,0.434,0.459,0.433,0.455,0.509,0.489,0.468,0.45,0.474,0.502,0.467,0.472,0.491,0.449,0.528,0.491,0.515,0.500,0.555,0.435,0.505
Seth,0.353,0.385,0.421,0.404,0.408,0.399,0.434,0.424,0.436,0.396,0.415,0.424,0.42,0.432,0.463,0.411,0.434,0.472,0.441,0.465,0.466,0.46,0.459,0.477,0.479,0.488,0.461,0.463,0.487,0.503,0.503,0.497,0.502,0.481,0.492,0.5,0.531,0.445,0.500,0.517,0.516
Rashid,0.398,0.439,0.432,0.42,0.461,0.453,0.456,0.405,0.535,0.481,0.448,0.467,0.453,0.419,0.436,0.486,0.471,0.447,0.465,0.484,0.456,0.539,0.467,0.449,0.458,0.472,0.467,0.474,0.473,0.448,0.454,0.468,0.486,0.493,0.492,0.493,0.471,0.565,0.483,0.500,0.482
Dan,0.374,0.392,0.42,0.428,0.434,0.425,0.392,0.417,0.423,0.417,0.427,0.419,0.393,0.421,0.444,0.434,0.423,0.448,0.427,0.444,0.468,0.451,0.442,0.433,0.437,0.464,0.469,0.469,0.471,0.47,0.471,0.464,0.471,0.501,0.47,0.486,0.495,0.495,0.484,0.518,0.500
