E.Honda,0.500,0.586,0.605,0.528,0.522,0.512,0.527,0.516,0.517,0.516,0.522,0.617,0.537,0.554,0.509,0.503,0.574,0.512,0.562,0.538,0.571,0.537,0.584,0.533,0.595,0.562,0.622,0.564,0.585,0.546,0.591,0.589,0.561,0.557,0.561,0.547,0.622,0.562,0.616,0.589,0.64,0.602
Blanka,0.414,0.500,0.503,0.52,0.524,0.472,0.492,0.528,0.507,0.512,0.545,0.576,0.512,0.53,0.506,0.494,0.515,0.562,0.534,0.505,0.522,0.564,0.538,0.555,0.549,0.565,0.562,0.552,0.567,0.526,0.554,0.566,0.555,0.553,0.551,0.569,0.564,0.574,0.564,0.554,0.618,0.558
BOXER,0.395,0.497,0.500,0.465,0.542,0.49,0.473,0.516,0.561,0.495,0.482,0.55,0.529,0.502,0.528,0.49,0.558,0.479,0.545,0.497,0.569,0.558,0.538,0.545,0.561,0.569,0.585,0.566,0.575,0.547,0.568,0.567,0.546,0.564,0.547,0.545,0.593,0.567,0.58,0.572,0.617,0.565
DICTATOR,0.472,0.48,0.535,0.500,0.55,0.507,0.516,0.466,0.535,0.536,0.532,0.524,0.531,0.517,0.536,0.51,0.537,0.477,0.537,0.497,0.527,0.595,0.537,0.539,0.543,0.549,0.579,0.529,0.569,0.518,0.543,0.57,0.555,0.535,0.526,0.551,0.593,0.572,0.569,0.544,0.612,0.568
Falke,0.478,0.476,0.458,0.45,0.500,0.506,0.529,0.484,0.508,0.504,0.519,0.455,0.51,0.545,0.525,0.531,0.506,0.615,0.533,0.547,0.531,0.582,0.52,0.55,0.559,0.561,0.545,0.533,0.525,0.546,0.541,0.529,0.562,0.571,0.554,0.561,0.558,0.565,0.58,0.541,0.57,0.591
Urien,0.488,0.528,0.51,0.493,0.494,0.500,0.508,0.493,0.521,0.533,0.472,0.545,0.536,0.55,0.504,0.531,0.515,0.546,0.521,0.525,0.541,0.525,0.526,0.521,0.551,0.541,0.582,0.564,0.564,0.531,0.574,0.55,0.555,0.548,0.555,0.545,0.582,0.557,0.568,0.549,0.58,0.57
Alex,0.473,0.508,0.527,0.484,0.471,0.492,0.500,0.47,0.527,0.484,0.513,0.551,0.51,0.529,0.545,0.517,0.522,0.532,0.526,0.493,0.526,0.561,0.532,0.535,0.546,0.546,0.575,0.534,0.572,0.52,0.547,0.569,0.544,0.552,0.541,0.538,0.558,0.541,0.561,0.542,0.618,0.548
CLAW,0.484,0.472,0.484,0.534,0.516,0.507,0.53,0.500,0.519,0.495,0.544,0.564,0.515,0.535,0.492,0.591,0.563,0.524,0.5,0.488,0.541,0.554,0.546,0.524,0.527,0.561,0.567,0.526,0.554,0.515,0.527,0.557,0.535,0.511,0.535,0.533,0.557,0.531,0.547,0.545,0.599,0.572
Gill,0.483,0.493,0.439,0.465,0.492,0.479,0.473,0.481,0.500,0.498,0.475,0.478,0.49,0.507,0.5,0.501,0.524,0.545,0.532,0.507,0.556,0.505,0.541,0.535,0.538,0.538,0.526,0.539,0.541,0.553,0.545,0.536,0.56,0.529,0.576,0.543,0.581,0.547,0.571,0.547,0.497,0.604
Edd,0.484,0.488,0.505,0.464,0.496,0.467,0.516,0.505,0.502,0.500,0.499,0.5,0.484,0.5,0.495,0.553,0.516,0.531,0.526,0.541,0.505,0.488,0.542,0.496,0.538,0.553,0.532,0.551,0.528,0.51,0.519,0.546,0.547,0.553,0.562,0.537,0.545,0.541,0.586,0.583,0.561,0.591
