Ryu,0.50,0.43,0.42,0.50,0.49,0.50,0.43,0.46,0.49,0.52,0.46,0.51,0.47,0.46,0.52,0.47,0.46,0.43,0.46,0.42,0.49,0.52,0.57
Mbison,0.57,0.50,0.46,0.54,0.52,0.45,0.51,0.56,0.49,0.61,0.47,0.46,0.50,0.56,0.43,0.52,0.52,0.53,0.55,0.52,0.53,0.54,0.65
Chunli,0.58,0.54,0.50,0.51,0.57,0.55,0.43,0.55,0.56,0.56,0.55,0.52,0.51,0.49,0.55,0.52,0.50,0.50,0.53,0.51,0.53,0.59,0.56
Ken,0.50,0.46,0.49,0.50,0.49,0.52,0.44,0.45,0.51,0.52,0.50,0.48,0.46,0.44,0.48,0.48,0.46,0.48,0.47,0.48,0.51,0.54,0.53
Karin,0.51,0.48,0.43,0.51,0.50,0.45,0.48,0.52,0.48,0.56,0.46,0.51,0.48,0.46,0.48,0.47,0.48,0.52,0.47,0.46,0.48,0.50,0.58
Zangief,0.50,0.55,0.45,0.48,0.55,0.50,0.31,0.41,0.47,0.57,0.43,0.51,0.51,0.50,0.54,0.46,0.53,0.43,0.52,0.57,0.48,0.53,0.63
Dhalsim,0.57,0.49,0.57,0.56,0.52,0.69,0.50,0.59,0.53,0.57,0.56,0.49,0.46,0.53,0.50,0.50,0.54,0.56,0.49,0.47,0.52,0.52,0.68
Nash,0.54,0.44,0.45,0.55,0.48,0.59,0.41,0.50,0.45,0.49,0.51,0.50,0.45,0.46,0.44,0.47,0.49,0.49,0.46,0.44,0.54,0.53,0.55
Vega,0.51,0.51,0.44,0.49,0.52,0.53,0.47,0.55,0.50,0.58,0.52,0.51,0.52,0.54,0.44,0.48,0.48,0.48,0.50,0.48,0.55,0.56,0.58
Juri,0.48,0.39,0.44,0.48,0.44,0.43,0.43,0.51,0.42,0.50,0.42,0.42,0.42,0.42,0.45,0.42,0.43,0.48,0.44,0.41,0.42,0.48,0.56
Birdie,0.54,0.53,0.45,0.50,0.54,0.57,0.44,0.49,0.48,0.58,0.50,0.48,0.46,0.43,0.48,0.48,0.50,0.47,0.54,0.48,0.49,0.53,0.59
Rmika,0.49,0.54,0.48,0.52,0.49,0.49,0.51,0.50,0.49,0.58,0.52,0.50,0.48,0.54,0.47,0.51,0.49,0.50,0.49,0.55,0.50,0.55,0.58
Rashid,0.53,0.50,0.49,0.54,0.52,0.49,0.54,0.55,0.48,0.58,0.54,0.52,0.50,0.51,0.49,0.52,0.48,0.51,0.54,0.52,0.52,0.57,0.62
Fang,0.54,0.44,0.51,0.56,0.54,0.50,0.47,0.54,0.46,0.58,0.57,0.46,0.49,0.50,0.43,0.47,0.46,0.48,0.51,0.50,0.55,0.54,0.64
Laura,0.48,0.57,0.45,0.52,0.52,0.46,0.50,0.56,0.56,0.55,0.52,0.53,0.51,0.57,0.50,0.50,0.49,0.49,0.51,0.57,0.54,0.55,0.61
Necalli,0.53,0.48,0.48,0.52,0.53,0.54,0.50,0.53,0.52,0.58,0.52,0.49,0.48,0.53,0.50,0.50,0.51,0.54,0.49,0.48,0.51,0.54,0.60
Cammy,0.54,0.48,0.50,0.54,0.52,0.47,0.46,0.51,0.52,0.57,0.50,0.51,0.52,0.54,0.51,0.49,0.50,0.51,0.51,0.52,0.48,0.56,0.62
Guile,0.57,0.47,0.50,0.52,0.48,0.57,0.44,0.51,0.52,0.52,0.53,0.50,0.49,0.52,0.51,0.46,0.49,0.50,0.47,0.44,0.54,0.49,0.63
Ibuki,0.54,0.45,0.47,0.53,0.53,0.48,0.51,0.54,0.50,0.56,0.46,0.51,0.46,0.49,0.49,0.51,0.49,0.53,0.50,0.46,0.53,0.51,0.63
Balrog,0.58,0.48,0.49,0.52,0.54,0.43,0.53,0.56,0.52,0.59,0.52,0.45,0.48,0.50,0.43,0.52,0.48,0.56,0.54,0.50,0.56,0.53,0.66
Urien,0.51,0.47,0.47,0.49,0.52,0.52,0.48,0.46,0.45,0.58,0.51,0.50,0.48,0.45,0.46,0.49,0.52,0.46,0.47,0.44,0.50,0.51,0.61
Alex,0.48,0.46,0.41,0.46,0.50,0.47,0.48,0.47,0.44,0.52,0.47,0.45,0.43,0.46,0.45,0.46,0.44,0.51,0.49,0.47,0.49,0.50,0.53
Akuma,0.43,0.35,0.44,0.47,0.42,0.37,0.32,0.45,0.42,0.44,0.41,0.42,0.38,0.36,0.39,0.40,0.38,0.37,0.37,0.34,0.39,0.47,0.50
