DICTATOR,0.50,0.5,0.5,0.51,0.53,0.49,0.48,0.55,0.57,0.54,0.57,0.54,0.56,0.55,0.53,0.51,0.58,0.56,0.58,0.57,0.59,0.63
CLAW,0.5,0.50,0.49,0.5,0.52,0.47,0.49,0.53,0.52,0.5,0.55,0.54,0.55,0.54,0.54,0.54,0.53,0.54,0.54,0.54,0.56,0.61
BIRDIE,0.5,0.51,0.50,0.47,0.49,0.5,0.51,0.54,0.53,0.53,0.5,0.51,0.5,0.55,0.5,0.56,0.51,0.53,0.56,0.57,0.59,0.61
DHALSIM,0.49,0.5,0.53,0.50,0.48,0.5,0.48,0.5,0.47,0.56,0.56,0.5,0.52,0.52,0.48,0.64,0.56,0.55,0.55,0.55,0.53,0.57
URIEN,0.47,0.48,0.51,0.52,0.50,0.5,0.51,0.52,0.53,0.52,0.49,0.53,0.5,0.52,0.55,0.54,0.52,0.53,0.54,0.57,0.55,0.59
LAURA,0.51,0.53,0.5,0.5,0.5,0.50,0.51,0.49,0.54,0.49,0.55,0.53,0.56,0.51,0.53,0.48,0.53,0.52,0.49,0.53,0.52,0.56
RAINBOW MIKA,0.52,0.51,0.49,0.52,0.49,0.49,0.50,0.51,0.54,0.51,0.53,0.53,0.53,0.5,0.52,0.49,0.53,0.53,0.51,0.53,0.54,0.55
NECALLI,0.45,0.47,0.46,0.5,0.48,0.51,0.49,0.50,0.48,0.51,0.52,0.49,0.52,0.52,0.51,0.5,0.54,0.52,0.53,0.52,0.51,0.57
BOXER,0.43,0.48,0.47,0.53,0.47,0.46,0.46,0.52,0.50,0.51,0.52,0.47,0.52,0.51,0.53,0.45,0.53,0.53,0.54,0.53,0.53,0.58
CHUN-LI,0.46,0.5,0.47,0.44,0.48,0.51,0.49,0.49,0.49,0.50,0.48,0.52,0.48,0.53,0.52,0.52,0.52,0.5,0.53,0.52,0.52,0.54
NASH,0.43,0.45,0.5,0.44,0.51,0.45,0.47,0.48,0.48,0.52,0.50,0.49,0.52,0.49,0.5,0.59,0.52,0.54,0.54,0.54,0.51,0.55
ALEX,0.46,0.46,0.49,0.5,0.47,0.47,0.47,0.51,0.53,0.48,0.51,0.50,0.49,0.51,0.49,0.49,0.53,0.5,0.51,0.52,0.53,0.57
F.A.N.G,0.44,0.45,0.5,0.48,0.5,0.44,0.47,0.48,0.48,0.52,0.48,0.51,0.50,0.51,0.5,0.51,0.52,0.53,0.52,0.5,0.52,0.56
KARIN,0.45,0.46,0.45,0.48,0.48,0.49,0.5,0.48,0.49,0.47,0.51,0.49,0.49,0.50,0.51,0.49,0.55,0.51,0.52,0.52,0.51,0.55
RASHID,0.47,0.46,0.5,0.52,0.45,0.47,0.48,0.49,0.47,0.48,0.5,0.51,0.5,0.5,0.50,0.5,0.49,0.49,0.49,0.5,0.54,0.55
ZANGIEF,0.5,0.46,0.44,0.36,0.46,0.52,0.51,0.5,0.55,0.48,0.41,0.51,0.49,0.51,0.5,0.50,0.48,0.49,0.5,0.54,0.54,0.56
GUILE,0.42,0.47,0.49,0.44,0.48,0.47,0.47,0.46,0.47,0.48,0.48,0.47,0.48,0.45,0.51,0.52,0.50,0.53,0.52,0.51,0.48,0.52
KEN,0.44,0.46,0.47,0.45,0.47,0.48,0.47,0.48,0.47,0.5,0.46,0.5,0.48,0.49,0.51,0.51,0.47,0.50,0.49,0.5,0.5,0.53
RYU,0.42,0.46,0.44,0.45,0.46,0.51,0.49,0.47,0.46,0.47,0.46,0.49,0.48,0.48,0.51,0.5,0.48,0.51,0.50,0.51,0.5,0.54
CAMMY,0.43,0.46,0.43,0.45,0.43,0.47,0.47,0.48,0.47,0.48,0.46,0.48,0.5,0.48,0.5,0.46,0.49,0.5,0.49,0.50,0.5,0.53
IBUKI,0.41,0.44,0.41,0.47,0.45,0.48,0.46,0.49,0.47,0.48,0.49,0.47,0.48,0.49,0.46,0.46,0.52,0.5,0.5,0.5,0.50,0.51
JURI,0.37,0.39,0.39,0.43,0.41,0.44,0.45,0.43,0.42,0.46,0.45,0.43,0.44,0.45,0.45,0.44,0.48,0.47,0.46,0.47,0.49,0.50
