URIEN,0.50,0.49,0.53,0.54,0.53,0.52,0.51,0.56,0.56,0.51,0.54,0.54,0.57,0.57,0.56,0.57,0.56,0.6,0.59,0.59,0.61,0.59,0.59
DICTATOR,0.51,0.50,0.55,0.53,0.48,0.49,0.55,0.57,0.51,0.57,0.56,0.56,0.51,0.55,0.51,0.56,0.6,0.59,0.57,0.58,0.63,0.6,0.61
BOXER,0.47,0.45,0.50,0.55,0.47,0.52,0.53,0.51,0.51,0.53,0.52,0.55,0.47,0.55,0.51,0.55,0.57,0.57,0.57,0.58,0.59,0.58,0.59
DHALSIM,0.46,0.47,0.45,0.50,0.47,0.46,0.55,0.49,0.53,0.51,0.5,0.51,0.66,0.48,0.53,0.54,0.57,0.54,0.59,0.56,0.54,0.59,0.58
LAURA,0.47,0.52,0.53,0.53,0.50,0.53,0.51,0.54,0.52,0.54,0.5,0.51,0.47,0.53,0.54,0.51,0.57,0.54,0.53,0.54,0.54,0.52,0.53
CLAW,0.48,0.51,0.48,0.54,0.47,0.50,0.48,0.55,0.5,0.53,0.52,0.51,0.53,0.52,0.52,0.54,0.57,0.52,0.53,0.54,0.59,0.55,0.55
GUILE,0.49,0.45,0.47,0.45,0.49,0.52,0.50,0.5,0.54,0.5,0.48,0.49,0.54,0.56,0.51,0.48,0.56,0.55,0.54,0.58,0.53,0.58,0.56
ALEX,0.44,0.43,0.49,0.51,0.46,0.45,0.5,0.50,0.49,0.48,0.48,0.51,0.5,0.49,0.48,0.5,0.53,0.53,0.51,0.53,0.54,0.53,0.54
BIRDIE,0.44,0.49,0.49,0.47,0.48,0.5,0.46,0.51,0.50,0.51,0.53,0.55,0.56,0.47,0.53,0.53,0.53,0.56,0.55,0.53,0.58,0.57,0.56
F.A.N.G,0.49,0.43,0.47,0.49,0.46,0.47,0.5,0.52,0.49,0.50,0.5,0.48,0.5,0.5,0.53,0.54,0.54,0.53,0.57,0.55,0.56,0.55,0.57
IBUKI,0.46,0.44,0.48,0.5,0.5,0.48,0.52,0.52,0.47,0.5,0.50,0.53,0.49,0.51,0.52,0.53,0.54,0.53,0.54,0.55,0.53,0.54,0.54
NECALLI,0.46,0.44,0.45,0.49,0.49,0.49,0.51,0.49,0.45,0.52,0.47,0.50,0.5,0.51,0.5,0.51,0.54,0.54,0.54,0.54,0.55,0.55,0.54
ZANGIEF,0.43,0.49,0.53,0.34,0.53,0.47,0.46,0.5,0.44,0.5,0.51,0.5,0.50,0.49,0.52,0.52,0.47,0.56,0.53,0.53,0.55,0.57,0.53
RASHID,0.43,0.45,0.45,0.52,0.47,0.48,0.44,0.51,0.53,0.5,0.49,0.49,0.51,0.50,0.52,0.51,0.51,0.52,0.52,0.5,0.54,0.53,0.51
RAINBOW MIKA,0.44,0.49,0.49,0.47,0.46,0.48,0.49,0.52,0.47,0.47,0.48,0.5,0.48,0.48,0.50,0.49,0.52,0.51,0.52,0.51,0.52,0.54,0.52
KARIN,0.43,0.44,0.45,0.46,0.49,0.46,0.52,0.5,0.47,0.46,0.47,0.49,0.48,0.49,0.51,0.50,0.53,0.53,0.52,0.53,0.54,0.53,0.54
NASH,0.44,0.4,0.43,0.43,0.43,0.43,0.44,0.47,0.47,0.46,0.46,0.46,0.53,0.49,0.48,0.47,0.50,0.51,0.52,0.52,0.5,0.52,0.54
CAMMY,0.4,0.41,0.43,0.46,0.46,0.48,0.45,0.47,0.44,0.47,0.47,0.46,0.44,0.48,0.49,0.47,0.49,0.50,0.51,0.51,0.49,0.52,0.51
CHUN-LI,0.41,0.43,0.43,0.41,0.47,0.47,0.46,0.49,0.45,0.43,0.46,0.46,0.47,0.48,0.48,0.48,0.48,0.49,0.50,0.49,0.5,0.49,0.51
KEN,0.41,0.42,0.42,0.44,0.46,0.46,0.42,0.47,0.47,0.45,0.45,0.46,0.47,0.5,0.49,0.47,0.48,0.49,0.51,0.50,0.49,0.49,0.49
JURI,0.39,0.37,0.41,0.46,0.46,0.41,0.47,0.46,0.42,0.44,0.47,0.45,0.45,0.46,0.48,0.46,0.5,0.51,0.5,0.51,0.50,0.52,0.51
GOUKI,0.41,0.4,0.42,0.41,0.48,0.45,0.42,0.47,0.43,0.45,0.46,0.45,0.43,0.47,0.46,0.47,0.48,0.48,0.51,0.51,0.48,0.50,0.5
RYU,0.41,0.39,0.41,0.42,0.47,0.45,0.44,0.46,0.44,0.43,0.46,0.46,0.47,0.49,0.48,0.46,0.46,0.49,0.49,0.51,0.49,0.5,0.50
