URIEN,0.50,0.49,0.53,0.53,0.53,0.52,0.57,0.51,0.5,0.54,0.55,0.57,0.55,0.56,0.55,0.57,0.57,0.59,0.61,0.59,0.58,0.59,0.59,0.64
DICTATOR,0.51,0.50,0.55,0.52,0.49,0.5,0.51,0.55,0.57,0.56,0.54,0.52,0.56,0.56,0.52,0.57,0.6,0.58,0.6,0.58,0.61,0.62,0.59,0.63
BOXER,0.47,0.45,0.50,0.53,0.47,0.53,0.51,0.53,0.51,0.52,0.54,0.49,0.56,0.55,0.51,0.52,0.57,0.58,0.57,0.56,0.59,0.6,0.57,0.62
DHALSIM,0.47,0.48,0.47,0.50,0.49,0.46,0.54,0.56,0.54,0.52,0.47,0.66,0.51,0.53,0.53,0.49,0.57,0.57,0.55,0.59,0.59,0.56,0.59,0.58
LAURA,0.47,0.51,0.53,0.51,0.50,0.53,0.51,0.51,0.54,0.51,0.54,0.47,0.51,0.52,0.54,0.54,0.57,0.53,0.56,0.55,0.52,0.52,0.52,0.61
CLAW,0.48,0.5,0.47,0.54,0.47,0.50,0.51,0.48,0.53,0.53,0.52,0.53,0.51,0.53,0.52,0.54,0.56,0.54,0.53,0.53,0.55,0.58,0.55,0.58
BIRDIE,0.43,0.49,0.49,0.46,0.49,0.49,0.50,0.47,0.5,0.54,0.48,0.55,0.54,0.55,0.52,0.5,0.53,0.53,0.57,0.55,0.56,0.58,0.56,0.62
GUILE,0.49,0.45,0.47,0.44,0.49,0.52,0.53,0.50,0.49,0.48,0.55,0.54,0.49,0.47,0.51,0.5,0.55,0.57,0.55,0.55,0.56,0.53,0.58,0.62
F.A.N.G,0.5,0.43,0.49,0.46,0.46,0.47,0.5,0.51,0.50,0.51,0.5,0.49,0.48,0.55,0.52,0.52,0.55,0.55,0.53,0.57,0.56,0.57,0.56,0.59
IBUKI,0.46,0.44,0.48,0.48,0.49,0.47,0.46,0.52,0.49,0.50,0.51,0.49,0.52,0.52,0.53,0.51,0.54,0.54,0.54,0.55,0.54,0.54,0.54,0.59
RASHID,0.45,0.46,0.46,0.53,0.46,0.48,0.52,0.45,0.5,0.49,0.50,0.51,0.5,0.5,0.52,0.52,0.52,0.51,0.52,0.54,0.51,0.54,0.52,0.57
ZANGIEF,0.43,0.48,0.51,0.34,0.53,0.47,0.45,0.46,0.51,0.51,0.49,0.50,0.5,0.52,0.53,0.5,0.47,0.52,0.56,0.53,0.53,0.54,0.57,0.59
NECALLI,0.45,0.44,0.44,0.49,0.49,0.49,0.46,0.51,0.52,0.48,0.5,0.5,0.50,0.5,0.49,0.49,0.53,0.53,0.53,0.54,0.54,0.53,0.53,0.57
KARIN,0.44,0.44,0.45,0.47,0.48,0.47,0.45,0.53,0.45,0.48,0.5,0.48,0.5,0.50,0.53,0.51,0.54,0.53,0.53,0.52,0.53,0.54,0.53,0.56
RAINBOW MIKA,0.45,0.48,0.49,0.47,0.46,0.48,0.48,0.49,0.48,0.47,0.48,0.47,0.51,0.47,0.50,0.52,0.52,0.51,0.52,0.52,0.52,0.54,0.55,0.54
ALEX,0.43,0.43,0.48,0.51,0.46,0.46,0.5,0.5,0.48,0.49,0.48,0.5,0.51,0.49,0.48,0.50,0.53,0.52,0.53,0.5,0.53,0.54,0.53,0.55
NASH,0.43,0.4,0.43,0.43,0.43,0.44,0.47,0.45,0.45,0.46,0.48,0.53,0.47,0.46,0.48,0.47,0.50,0.51,0.5,0.51,0.54,0.5,0.52,0.54
KEN,0.41,0.42,0.42,0.43,0.47,0.46,0.47,0.43,0.45,0.46,0.49,0.48,0.47,0.47,0.49,0.48,0.49,0.50,0.49,0.51,0.48,0.5,0.49,0.52
CAMMY,0.39,0.4,0.43,0.45,0.44,0.47,0.43,0.45,0.47,0.46,0.48,0.44,0.47,0.47,0.48,0.47,0.5,0.51,0.50,0.51,0.51,0.49,0.52,0.5
CHUN-LI,0.41,0.42,0.44,0.41,0.45,0.47,0.45,0.45,0.43,0.45,0.46,0.47,0.46,0.48,0.48,0.5,0.49,0.49,0.49,0.50,0.5,0.48,0.5,0.54
RYU,0.42,0.39,0.41,0.41,0.48,0.45,0.44,0.44,0.44,0.46,0.49,0.47,0.46,0.47,0.48,0.47,0.46,0.52,0.49,0.5,0.50,0.5,0.51,0.54
JURI,0.41,0.38,0.4,0.44,0.48,0.42,0.42,0.47,0.43,0.46,0.46,0.46,0.47,0.46,0.46,0.46,0.5,0.5,0.51,0.52,0.5,0.50,0.51,0.52
GOUKI,0.41,0.41,0.43,0.41,0.48,0.45,0.44,0.42,0.44,0.46,0.48,0.43,0.47,0.47,0.45,0.47,0.48,0.51,0.48,0.5,0.49,0.49,0.50,0.54
KOLIN,0.36,0.37,0.38,0.42,0.39,0.42,0.38,0.38,0.41,0.41,0.43,0.41,0.43,0.44,0.46,0.45,0.46,0.48,0.5,0.46,0.46,0.48,0.46,0.50
