Ryu,0.50,0.39,0.43,0.57,0.50,0.44,0.65,0.58,0.56,0.40,0.55,0.59,0.55,0.46,0.61,0.44,0.52,0.48,0.59,0.48,0.48,0.61,0.52
Mbison,0.61,0.50,0.42,0.59,0.55,0.45,0.58,0.51,0.65,0.59,0.45,0.49,0.54,0.61,0.39,0.50,0.43,0.57,0.62,0.50,0.42,0.64,0.52
Chunli,0.57,0.58,0.50,0.51,0.53,0.44,0.39,0.60,0.59,0.62,0.64,0.55,0.51,0.55,0.52,0.40,0.48,0.55,0.53,0.47,0.42,0.62,0.45
Ken,0.43,0.41,0.49,0.50,0.51,0.47,0.42,0.46,0.47,0.56,0.52,0.51,0.45,0.50,0.50,0.41,0.40,0.55,0.58,0.51,0.55,0.58,0.48
Karin,0.50,0.45,0.47,0.49,0.50,0.51,0.57,0.52,0.54,0.51,0.47,0.43,0.47,0.56,0.52,0.44,0.44,0.50,0.51,0.49,0.48,0.60,0.64
Zangief,0.56,0.55,0.56,0.53,0.49,0.50,0.29,0.44,0.48,0.58,0.38,0.58,0.55,0.57,0.62,0.47,0.58,0.46,0.52,0.38,0.59,0.45,0.62
Dhalsim,0.35,0.42,0.61,0.58,0.43,0.71,0.50,0.54,0.48,0.49,0.41,0.47,0.43,0.55,0.40,0.41,0.39,0.50,0.42,0.50,0.51,0.61,0.48
Nash,0.42,0.49,0.40,0.54,0.48,0.56,0.46,0.50,0.43,0.29,0.47,0.54,0.39,0.51,0.47,0.42,0.45,0.55,0.57,0.48,0.47,0.56,0.57
Vega,0.44,0.35,0.41,0.53,0.46,0.52,0.52,0.57,0.50,0.50,0.47,0.52,0.52,0.51,0.36,0.38,0.35,0.45,0.41,0.47,0.40,0.55,0.74
Juri,0.60,0.41,0.38,0.44,0.49,0.42,0.51,0.71,0.50,0.50,0.47,0.52,0.75,0.25,0.53,0.43,0.38,0.62,0.65,0.54,0.48,0.40,0.31
Birdie,0.45,0.55,0.36,0.48,0.53,0.62,0.59,0.53,0.53,0.53,0.50,0.64,0.50,0.55,0.51,0.35,0.42,0.53,0.56,0.51,0.32,0.64,0.62
Rmika,0.41,0.51,0.45,0.49,0.57,0.42,0.53,0.46,0.48,0.48,0.36,0.50,0.44,0.58,0.42,0.40,0.32,0.51,0.40,0.41,0.50,0.47,0.45
Rashid,0.45,0.46,0.49,0.55,0.53,0.45,0.57,0.61,0.48,0.25,0.50,0.56,0.50,0.58,0.47,0.50,0.40,0.41,0.60,0.52,0.58,0.61,0.67
Fang,0.54,0.39,0.45,0.50,0.44,0.43,0.45,0.49,0.49,0.75,0.45,0.42,0.42,0.50,0.36,0.26,0.38,0.33,0.58,0.56,0.52,0.51,0.56
Laura,0.39,0.61,0.48,0.50,0.48,0.38,0.60,0.53,0.64,0.47,0.49,0.58,0.53,0.64,0.50,0.42,0.47,0.59,0.54,0.54,0.51,0.58,0.50
Necalli,0.56,0.50,0.60,0.59,0.56,0.53,0.59,0.58,0.62,0.58,0.65,0.60,0.50,0.74,0.58,0.50,0.55,0.61,0.46,0.61,0.58,0.63,0.57
Cammy,0.48,0.57,0.52,0.60,0.56,0.42,0.61,0.55,0.65,0.62,0.58,0.68,0.60,0.62,0.53,0.45,0.50,0.58,0.63,0.56,0.55,0.66,0.57
Guile,0.52,0.43,0.45,0.45,0.50,0.54,0.50,0.45,0.55,0.38,0.47,0.49,0.59,0.67,0.41,0.39,0.42,0.50,0.52,0.49,0.50,0.49,0.71
Ibuki,0.41,0.38,0.47,0.42,0.49,0.48,0.58,0.43,0.59,0.35,0.44,0.60,0.40,0.43,0.46,0.54,0.37,0.48,0.50,0.52,0.53,0.60,0.52
Balrog,0.52,0.50,0.53,0.49,0.51,0.62,0.50,0.52,0.53,0.46,0.49,0.59,0.48,0.44,0.46,0.39,0.44,0.51,0.48,0.50,0.57,0.58,0.52
Urien,0.52,0.58,0.58,0.45,0.52,0.41,0.49,0.53,0.60,0.52,0.68,0.50,0.42,0.48,0.49,0.42,0.45,0.50,0.47,0.43,0.50,0.56,0.68
Alex,0.39,0.36,0.38,0.42,0.40,0.55,0.39,0.44,0.45,0.60,0.36,0.53,0.39,0.49,0.42,0.37,0.34,0.51,0.40,0.42,0.44,0.50,0.48
Akuma,0.48,0.48,0.55,0.52,0.36,0.38,0.52,0.43,0.26,0.69,0.38,0.55,0.33,0.44,0.50,0.43,0.43,0.29,0.48,0.48,0.32,0.52,0.50
